คณะ,Faculty,Student,M_b1030,M_1030_1200,M_1200_1430,M_1430_1600,M_a1600,T_b1030,T_1030_1200,T_1200_1430,T_1430_1600,T_a1600,W_b1030,W_1030_1200,W_1200_1430,W_1430_1600,W_a1600,R_b1030,R_1030_1200,R_1200_1430,R_1430_1600,R_a1600,F_b1030,F_1030_1200,F_1200_1430,F_1430_1600,F_a1600,S_b1030,S_1030_1200,S_1200_1430,S_1430_1600,S_a1600,N_b1030,N_1030_1200,N_1200_1430,N_1430_1600,N_a1600
เกษตร,Agriculture,2035,367,2051,203,90,271,985,3541,296,0,87,344,3344,613,34,143,573,1293,258,49,69,154,74,574,48,27,0,721,16,0,0,0,0,0,0,0
บริหารธุรกิจ,Business Administrature,3090,542,580,153,0,0,682,1679,391,0,143,572,511,395,33,0,491,526,256,64,0,594,194,74,0,0,194,0,70,0,0,0,69,82,0,0
มนุษยศาสตร์,Humanities,2773,655,385,420,399,184,805,629,722,204,306,515,227,321,53,522,766,491,654,232,207,656,347,607,357,173,84,30,11,175,0,0,0,0,0,0
วนศาสตร์,Forestry,1652,286,435,400,78,0,423,437,441,0,74,301,633,57,50,27,443,383,287,0,0,338,322,192,0,0,0,0,0,0,0,0,0,0,0,0
วิทยาศาสตร์,Science,3487,1298,628,1279,344,421,1511,489,1372,500,175,1487,757,1460,247,312,868,373,811,189,196,1172,702,994,56,227,454,321,648,208,681,115,95,1,0,0
วิศวกรรมศาสตร์,Engineering,6268,1918,1844,1590,1014,633,1609,2277,1737,900,500,1937,1823,1300,842,672,1661,1520,1519,746,461,1541,832,1052,653,444,275,131,258,0,133,97,67,0,32,12
ศึกษาศาสตร์,Education,1929,461,184,408,123,6,229,154,373,144,42,431,127,498,303,132,160,151,256,133,45,312,255,126,27,38,0,0,0,0,0,0,0,0,0,0
เศรษฐศาสตร์,Economics,4132,821,477,821,689,1161,644,283,830,314,1010,663,400,646,371,836,621,259,537,340,615,660,272,611,714,737,543,0,666,0,0,20,0,118,0,0
สถาปัตยกรรมศาสตร์,Architecture,646,149,320,461,0,0,91,417,402,105,28,381,74,88,45,55,119,159,452,0,30,157,270,242,70,1,75,0,0,0,0,0,0,0,0,0
สังคมศาสตร์,Social Science,3577,746,201,923,749,84,902,174,1034,758,133,1207,137,1153,967,80,797,52,1186,512,135,659,32,285,207,28,196,0,118,11,169,13,0,0,0,0
สัตวแพทยศาสตร์,Veterinary Medicine,478,464,454,131,0,0,504,249,130,39,23,503,253,160,0,0,543,54,561,0,0,441,125,169,39,0,54,0,0,0,0,0,0,0,0,0
อุตสาหกรรมเกษตร,Agro-Industry,1991,551,372,283,9,38,450,388,431,80,14,477,289,455,157,84,406,194,232,309,152,282,379,450,37,0,1,151,29,0,0,0,0,0,0,0
เทคนิคการสัตวแพทย์,Veterinary Medicine,727,157,268,301,0,0,258,357,244,37,55,159,312,266,0,55,97,273,172,0,0,168,188,111,0,0,2,4,3,0,0,0,5,0,0,0
สิ่งแวดล้อม,Environment,658,0,0,0,59,0,53,0,79,0,0,112,53,113,0,0,53,0,63,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
