Country Name,Region,Year,GDP_perCapita,population,urbanPopulation,PopulationAge15-64,PopulationAge65+,dieselFuelPrice,dieselFuelPrice_year-2,gasolinePrice,gasolinePrice_year-2,goodsImports,goodsExports,serviceImports,serviceExports,personalTransfers,schoolEnrollPrimary,airTransportDeparture,internationalTourism,mobileSubscriptionPer100People,broadbandSubscriptionPer100People,electricPowerConsumption,chargesOfIntellectualProperty,landArea
Albania,Eastern Europe,2016,4124.108907,2876101.0,1680247.0,1974733.0,372633.0,1.35,1.71,1.36,1.76,3670525694.0,789221582.4,1770873915.0,2650667814.0,996202980.9,105.5539,306.0,4070000.0,116.7444442,9.228640975,3232.688106,23163082.28,27400.0
Austria,Western Europe,2016,45237.80509,8736668.0,5058968.0,5846595.0,1652029.0,1.15,1.55,1.2,1.6,142629000000.0,145575000000.0,49748429078.0,61431634533.0,298710196.3,102.2644,149030.0,28121000.0,126.6614696,28.84661223,9659.62858,1466531271.0,82522.99805
Belarus,Eastern Europe,2016,5022.626643,9501534.0,7378986.0,6562719.0,1369717.0,0.62,1.06,0.6,1.06,25611100000.0,23099800000.0,4381400000.0,6883900000.0,537800000.0,101.077,26857.0,10935400.0,121.112623,32.47559748,3537.682129,125700000.0,202988.0078
Belgium,Western Europe,2016,42012.0999,11331422.0,11095615.0,7321394.0,2081792.0,1.32,1.69,1.43,1.9,267136000000.0,269061000000.0,105119000000.0,108879000000.0,183744920.8,103.3178,147324.0,7481000.0,110.5368746,37.60922178,8367.042979,2759594691.0,30280.0
Bulgaria,Eastern Europe,2016,7469.455638,7127822.0,5298039.0,4651208.0,1456167.0,1.09,1.51,1.11,1.49,26639460000.0,25553360000.0,5136460000.0,8933180000.0,962730000.0,91.08322,12187.0,8252000.0,125.4743844,23.73603406,4921.049363,183510000.0,108560.0
Costa Rica,North America,2016,11666.45591,4899345.0,3808506.0,3389558.0,439249.0,0.79,1.21,0.98,1.44,14526327122.0,10100261496.0,3427283777.0,8537126907.0,514795773.1,111.7611,46405.0,2925000.0,170.0362804,13.04433552,2370.383182,503368674.6,51060.0
Croatia,Eastern Europe,2016,12360.47326,4174349.0,2354458.0,2753101.0,818827.0,1.17,1.59,1.26,1.66,19757226412.0,11644321582.0,3941365100.0,13647424010.0,1113037892.0,98.20057,26171.0,13809000.0,104.888678,24.80146614,4270.882525,268810881.5,55960.0
Czech Republic,Western Europe,2016,18463.38658,10566332.0,7773650.0,7002545.0,1957048.0,1.11,1.6,1.17,1.67,120515000000.0,130600000000.0,19841031534.0,24245582816.0,755936257.6,100.2089,43878.0,9321000.0,117.5742832,28.91055035,6666.651802,1193119443.0,77220.0
Dominican Republic,North America,2016,7280.873164,10397743.0,8259551.0,6735370.0,695524.0,0.91,1.21,1.07,1.41,17398600000.0,9839600000.0,3369600000.0,8309200000.0,5260800000.0,110.2988,1170.0,5959300.0,83.75022036,7.379997251,2070.003818,98400000.0,48310.0
El Salvador,North America,2016,3800.103302,6356143.0,4481144.0,4082037.0,503816.0,0.7,1.02,0.83,1.12,8975940027.0,4322313880.0,1741346407.0,2548882978.0,4543839151.0,99.80045,28670.0,1434000.0,151.6211797,6.219290535,1234.664745,136773816.8,20720.0
Estonia,Northern Europe,2016,18237.29584,1315790.0,902145.0,852779.0,250764.0,1.14,1.51,1.14,1.46,13328262358.0,12499369628.0,4328092902.0,6099468431.0,122846600.6,97.1178,16179.0,3131000.0,144.1630523,29.98731495,7486.359166,51669819.03,43470.0
Finland,Northern Europe,2016,43777.44009,5495303.0,4686120.0,3455181.0,1142525.0,1.34,1.78,1.45,1.89,58458765192.0,58862749851.0,29729608387.0,26870062284.0,84092063.44,100.4188,162119.0,2789000.0,133.9848042,31.1402214,16617.47596,876760776.6,303910.0
France,Western Europe,2016,36962.22229,66859768.0,53432321.0,41767527.0,12893321.0,1.2,1.63,1.39,1.79,556913000000.0,521166000000.0,236706000000.0,259215000000.0,511415120.0,102.2604,599427.0,82682000.0,104.4897355,42.80350858,7623.655336,14758389447.0,547556.9922
Germany,Western Europe,2016,42098.92045,82348669.0,63592936.0,53852728.0,17530969.0,1.2,1.58,1.39,1.8,1024540000000.0,1304500000000.0,315979000000.0,291700000000.0,5528803.033,102.6776,962803.0,35555000.0,125.8854564,38.93239205,7470.076627,11295092294.0,349360.0
Greece,Eastern Europe,2016,18116.45962,10775971.0,8446960.0,6952092.0,2276958.0,1.22,1.63,1.54,1.98,47087774930.0,27229570716.0,14931124923.0,33075837345.0,183204674.4,99.27773,128454.0,24799000.0,118.122548,34.0552614,6059.999741,246662484.0,128900.0
Guatemala,North America,2016,4140.589826,16583060.0,8344430.0,9908023.0,761536.0,0.65,0.9,0.79,1.01,15767000000.0,10581100000.0,3026100000.0,2784000000.0,7377300000.0,100.8123,3102.0,1585000.0,110.1395181,3.05130363,750.0112736,169600000.0,107160.0
Honduras,North America,2016,2342.584651,9270795.0,5174309.0,5799721.0,411671.0,0.8,1.03,0.98,1.2,8166376152.0,3940383961.0,1740812282.0,2904600820.0,3847339159.0,92.58469,24315.0,838000.0,84.48900013,2.377207133,770.4282347,66573650.27,111890.0
Hungary,Eastern Europe,2016,12992.37567,9814023.0,6946267.0,6636893.0,1766754.0,1.2,1.65,1.18,1.58,82557713333.0,86948512417.0,17425345131.0,24215314775.0,370946279.5,101.8788,137605.0,15255000.0,102.0406696,28.88535037,4261.47201,1446684698.0,90530.0
Iceland,Northern Europe,2016,61757.94931,335439.0,314424.0,220677.0,47188.0,1.63,1.86,1.69,1.85,5315618576.0,4482462409.0,3237317078.0,5386554984.0,17856790.83,99.53414,41022.0,1792000.0,120.8927593,38.53723292,74715.94595,105225068.8,100250.0
