Country Name,Region,Year,GDP_perCapita,population,urbanPopulation,PopulationAge15-64,PopulationAge65+,dieselFuelPrice,dieselFuelPrice_year-2,gasolinePrice,gasolinePrice_year-2,goodsImports,goodsExports,serviceImports,serviceExports,personalTransfers,schoolEnrollPrimary,airTransportDeparture,internationalTourism,mobileSubscriptionPer100People,broadbandSubscriptionPer100People,electricPowerConsumption,chargesOfIntellectualProperty,landArea
Algeria,Africa,2016,3946.421445,40551404.0,28977628.0,26300653.0,2436320.0,0.17,0.16,0.28,0.27,49316882927.0,29316936939.0,10879459440.0,3429915247.0,1728036632.0,113.8302,73465.0,2039000.0,116.0042077,7.051711073,1731.092213,152897904.4,2381740.0
Argentina,South America,2016,12790.24247,43590368.0,39940546.0,27924236.0,4733904.0,1.0,1.33,1.1,1.52,53543776749.0,57959933691.0,21876362070.0,13424706884.0,312737270.0,110.7392,149334.0,6668000.0,146.4538276,16.60166322,3890.360164,2108388364.0,2736690.0
Benin,Africa,2016,789.0849152,10872067.0,5026048.0,5859860.0,351768.0,0.72,1.1,0.72,1.03,2443635977.0,1774483915.0,665283143.9,353934685.0,201258778.5,130.9023,10.0,267000.0,81.7921125,0.20509447,129.8041262,596399.8772,112760.0
Bolivia,South America,2016,3076.658949,11031813.0,7583048.0,6742195.0,761263.0,0.55,0.54,0.71,0.7,7930773107.0,7029946630.0,2857927957.0,1244740246.0,1233038013.0,96.5925,45722.0,961000.0,91.60973889,2.606905809,937.0933767,99382292.88,1083300.0
Brazil,South America,2016,8712.887044,206163058.0,177386818.0,143590074.0,17115012.0,0.95,1.02,1.02,1.27,139680000000.0,184315000000.0,63747069972.0,33300291480.0,2365066660.0,113.9454,826943.0,6547000.0,118.3855945,12.98156707,3148.312442,5140803656.0,8358140.0
Cameroon,Africa,2016,1363.403851,23926539.0,13202425.0,12969357.0,653575.0,0.94,1.14,1.03,1.24,4827149065.0,4589968663.0,2247930200.0,1656572813.0,179054095.5,116.1173,8212.0,994000.0,78.22900593,0.192146373,303.8934866,905589.0408,472710.0
Colombia,South America,2016,5871.223524,48171392.0,38589139.0,32765191.0,3823020.0,0.64,1.04,0.68,1.08,43238949428.0,34063233599.0,11300659281.0,7770924371.0,4868767837.0,116.2337,366188.0,3254000.0,121.8160055,12.27392136,1521.890438,438586639.1,1109500.0
Cote d'Ivoire,Africa,2016,1481.652231,23822714.0,11883008.0,13054491.0,671882.0,0.93,1.17,0.93,1.42,7810109086.0,10875534355.0,2902277230.0,913329928.7,171957158.6,95.88669,9463.0,1583000.0,115.2314132,0.572478854,298.6186177,2711598.39,318000.0
Ecuador,South America,2016,6060.093329,16491115.0,10477465.0,10641596.0,1115426.0,0.29,0.29,0.61,0.6,15852051137.0,17419375499.0,3200336114.0,2145849646.0,2601964649.0,104.935,55430.0,1569000.0,84.18035505,8.861838095,1816.754303,46324537.67,248360.0
"Egypt, Arab Rep.",Africa,2016,3525.020165,94447072.0,40359123.0,57809111.0,4860812.0,0.15,0.25,0.4,0.88,51066100000.0,20018300000.0,17235300000.0,13606000000.0,18590400000.0,105.3936,115856.0,5258000.0,103.540997,4.731924302,2235.302873,187700000.0,995450.0
Georgia,Western Asia,2016,4062.169888,3727505.0,2155877.0,2469522.0,540417.0,0.74,1.24,0.76,1.24,6747227737.0,2864698017.0,1736025315.0,3313035439.0,868582891.9,100.3439,3199.0,3297000.0,137.7647586,17.21206839,2548.627601,16194771.85,69490.0
India,South Asia,2016,1729.268021,1324509589.0,439498772.0,877808961.0,76732882.0,0.81,0.91,0.97,1.1,376090000000.0,268615000000.0,95922439917.0,161819000000.0,59083771822.0,114.5383,917625.0,14570000.0,85.14868348,1.408310236,1045.931087,5466041710.0,2973190.0
Kazakhstan,Western Asia,2016,7714.841844,17794055.0,10189588.0,11703873.0,1231068.0,0.4,0.64,0.42,0.81,26232437820.0,35485816557.0,9846945356.0,6084529823.0,380285377.8,109.8852,73188.0,6509000.0,143.2053265,13.17880684,5669.184154,126873670.0,2699700.0
Kenya,Africa,2016,1410.527571,49051686.0,12804943.0,27921053.0,1067536.0,0.82,1.07,0.95,1.21,13413052430.0,5747319971.0,2732435868.0,4154814833.0,1744639180.0,103.2053,99428.0,1268000.0,79.47190398,0.311900541,185.4296044,144483927.9,569140.0
Kyrgyz Republic,Western Asia,2016,1120.666513,6079500.0,2185215.0,3874021.0,264977.0,0.49,0.76,0.56,0.94,3708883851.0,1572558203.0,1044531795.0,841030690.0,1994607958.0,104.6015,23120.0,321000.0,125.3393872,3.965424993,1749.859803,7538903.0,191800.0
Mauritius,Africa,2016,9681.618567,1263473.0,516887.0,892710.0,131944.0,0.85,1.38,1.12,1.65,4407446280.0,2376428002.0,2052058297.0,2824931540.0,192772370.9,102.4534,13614.0,1275000.0,143.755473,16.84807804,2884.682945,17580177.28,2030.0
Morocco,Africa,2016,2896.720003,35126296.0,21553495.0,23119723.0,2296575.0,0.86,1.11,0.99,1.38,36684161943.0,19054117273.0,8449440405.0,15340235467.0,6383473884.0,110.3958,80085.0,10332000.0,118.1848162,3.574041694,1180.439255,104258156.7,446300.0
Mozambique,Africa,2016,428.926488,27829942.0,9719886.0,14439475.0,807477.0,0.6,1.2,0.65,1.55,4732896768.0,3328235536.0,3141590307.0,440450451.2,40492677.44,108.6466,15911.0,1639000.0,53.99077066,0.167441983,703.5751132,19003105.27,786380.0
Nigeria,Africa,2016,2175.99967,185960289.0,90531047.0,98834084.0,5106478.0,0.64,0.84,0.46,0.56,35239953320.0,34703895443.0,11758306299.0,3743644913.0,19506649180.0,84.72564,53971.0,5265000.0,82.99740158,0.058039826,186.2472024,252840000.0,910770.0
Peru,South America,2016,6204.99726,30926032.0,23979736.0,20207760.0,2337308.0,0.88,1.17,0.99,1.46,34908473498.0,37081738042.0,8358867311.0,6136958376.0,2883886545.0,103.0603,129880.0,3744000.0,119.4241828,6.857530252,1747.711729,379133896.1,1280000.0
Senegal,Africa,2016,1269.040407,14993528.0,6941404.0,8030121.0,459585.0,0.97,1.51,1.14,1.7,4836651910.0,2872612360.0,1338857776.0,1217779680.0,1861432194.0,84.45544,582.0,1210000.0,101.2869961,0.655970089,291.740893,7630754.896,192530.0
Tanzania,Africa,2016,966.4746224,53050790.0,17152912.0,28079105.0,1360067.0,0.8,1.2,0.87,1.29,8463634731.0,4949692273.0,2176433481.0,3599298550.0,371554458.3,85.29786,27422.0,1233000.0,75.48495237,0.600336706,127.9657254,1402980.0,885800.0
Togo,Africa,2016,597.0654589,7509952.0,3051143.0,4150526.0,212418.0,0.71,1.29,0.71,1.25,1999819305.0,1035797748.0,398685472.3,541510576.6,324743944.9,125.1071,10725.0,338000.0,73.30838776,0.649311826,182.251635,182122.2799,54390.0
Tunisia,Africa,2016,3698.058504,11303946.0,7725795.0,7706139.0,885038.0,0.62,0.68,0.73,0.91,18374482084.0,13650114058.0,3010567806.0,3249018482.0,1497462795.0,114.9202,38631.0,5724000.0,126.3459615,5.664102223,1835.768803,17504383.85,155360.0
Uzbekistan,Western Asia,2016,2567.799207,31847900.0,16130961.0,21487722.0,1319021.0,1.28,1.93,1.03,1.02,11037273348.0,8645168397.0,3443736833.0,1904748495.0,3649084896.0,101.5725,21486.0,2027000.0,73.99520784,8.734755262,1309.134641,6417372.7,425400.0
Zambia,Africa,2016,1280.578447,16363507.0,6944345.0,8523909.0,338840.0,1.16,1.59,1.4,1.68,6538529821.0,6534819286.0,1393289892.0,885102775.4,38464441.0,98.60698,8094.0,956000.0,73.43823048,0.194237673,737.7855359,2138070.836,743390.0
Algeria,Africa,2014,5493.02559,38923687.0,27332602.0,25690644.0,2231541.0,0.16,0.17,0.27,0.29,59457444971.0,60033584184.0,11807321608.0,3553345533.0,2183686892.0,118.5028,60066.0,2301000.0,111.2386102,4.109815688,1362.871919,143997401.9,2381740.0
Argentina,South America,2014,12334.79825,42669500.0,38990109.0,27315080.0,4529965.0,1.33,1.33,1.52,1.46,62898966094.0,68440435907.0,18037663981.0,13396371828.0,334182352.9,111.4597,134521.0,7165000.0,143.6158316,15.29042819,3074.702071,2098996166.0,2736690.0
Benin,Africa,2014,944.931653,10286842.0,4646155.0,5506537.0,332089.0,1.1,1.26,1.03,1.24,3272695477.0,2562237333.0,885382708.3,478600472.4,283923249.5,129.5957,648.0,242000.0,84.18939764,0.441525117,100.2251225,2252116.352,112760.0
Bolivia,South America,2014,3081.878834,10706517.0,7285464.0,6480520.0,709149.0,0.54,0.54,0.7,0.7,9893765587.0,12809705325.0,3026252967.0,1197451339.0,1163553186.0,95.93012,51017.00187,871000.0,97.60728909,1.613811476,742.5383997,68285439.41,1083300.0
Botswana,Africa,2014,7780.638385,2088614.0,1386171.0,1281339.0,77712.0,1.07,1.25,1.06,1.23,7775555933.0,8516802383.0,1230230718.0,984517502.7,4073064.9,103.7176,8304.0,1966000.0,163.2901277,1.593876908,1815.558069,127632065.6,566730.0
Brazil,South America,2014,12112.5903,202763735.0,173346772.0,140699012.0,15697743.0,1.02,1.02,1.27,1.39,230727000000.0,224098000000.0,88072140088.0,39965341780.0,2127744943.0,114.2547,937437.0,6430000.0,138.4511833,11.82082759,2619.960616,5922655347.0,8358140.0
Cameroon,Africa,2014,1540.568182,22681858.0,12242760.0,12218621.0,624914.0,1.14,1.01,1.24,1.1,7011114813.0,6562301527.0,2655882457.0,2028377164.0,191539514.4,113.279,5640.0,822000.0,75.1219918,0.074204699,275.1979137,7989240.57,472710.0
Colombia,South America,2014,8114.084264,46969209.0,37300597.0,31718565.0,3490121.0,1.04,1.18,1.08,1.28,61539344538.0,56898749075.0,14378105210.0,7156102122.0,4093206772.0,114.5444,349864.363,2552000.0,117.8049526,10.70649708,1312.157503,525973319.7,1109500.0
"Congo, Dem. Rep.",Africa,2014,486.7870819,73767447.0,31115109.0,37320751.0,2226947.0,1.67,1.48,1.68,1.48,12706297174.0,12321200000.0,3082202560.0,314797429.6,734032028.5,110.1767,11580.0,334000.0,50.29719681,0.000677806,108.5167011,10736427.23,2267050.0
Cote d'Ivoire,Africa,2014,1559.386504,22647683.0,11100535.0,12317084.0,637104.0,1.17,1.2,1.42,1.51,9094583367.0,12967509527.0,3062839712.0,902919969.5,197563604.1,86.80014,4032.0,471000.0,97.60192256,0.56013233,274.7300905,2890284.753,318000.0
Ecuador,South America,2014,6377.09153,15951838.0,10091292.0,10230990.0,1027424.0,0.29,0.29,0.6,0.58,26653974326.0,26590481333.0,3522965121.0,2352288007.0,2461742151.0,112.8785,61248.0,1695000.0,104.0991948,8.272569183,1376.393115,110557408.0,248360.0
"Egypt, Arab Rep.",Africa,2014,3378.831358,90424654.0,38737018.0,55871419.0,4569523.0,0.25,0.18,0.88,0.45,56446400000.0,25268700000.0,17549600000.0,21897600000.0,19570400000.0,103.8715,101725.7674,9628300.0,105.409341,3.392745005,1683.213518,241500000.0,995450.0
Ethiopia,Africa,2014,566.9264665,98094253.0,18635946.0,52808950.0,3363803.0,0.89,0.94,0.99,1.05,13768140261.0,3418298315.0,4435677335.0,2967393372.0,1796377787.0,99.25276,71166.0,770000.0,31.08234717,0.480440931,69.19875316,2190854.732,1000000.0
Georgia,Western Asia,2014,4739.203565,3719414.0,2122558.0,2493683.0,530648.0,1.24,1.37,1.24,1.34,8280714563.0,3995072600.0,1737640681.0,3043593543.0,1247811499.0,104.2728,3317.0,2939000.0,133.8376646,14.88921176,2693.97276,19348328.75,69490.0
India,South Asia,2014,1573.881492,1295604184.0,419568459.0,849864260.0,70980913.0,0.91,0.86,1.1,1.25,472434000000.0,328387000000.0,81118589091.0,157196000000.0,66831611586.0,107.8644,724541.12,13107000.0,72.86262075,1.215652255,804.5142281,4848711889.0,2973190.0
Kazakhstan,Western Asia,2014,12807.26069,17288285.0,9874723.0,11617712.0,1168003.0,0.64,0.67,0.81,1.01,42453772847.0,79072694941.0,13845946919.0,7002484343.0,397500996.1,112.5344,71220.0,6333000.0,165.2675044,12.41430847,5600.208465,93680130.0,2699700.0
Kenya,Africa,2014,1315.804535,46699981.0,11778202.0,26158470.0,959146.0,1.07,1.26,1.21,1.37,16929142272.0,6218926449.0,3349534944.0,5024215634.0,1440846250.0,105.7534,90625.0,1261000.0,72.01839698,0.218014733,164.3255487,147498189.7,569140.0
Mauritius,Africa,2014,10153.93822,1260934.0,518383.0,891403.0,118705.0,1.38,1.38,1.65,1.65,5353894555.0,3093875525.0,2123615253.0,2904059758.0,326200594.0,102.4473,12131.0,1038000.0,131.3869194,14.4748301,2182.509156,15456951.19,2030.0
Morocco,Africa,2014,3171.699192,34192347.0,20602941.0,22521340.0,2140271.0,1.11,0.96,1.38,1.42,41032003259.0,19977019526.0,8871785474.0,16236442777.0,7735661293.0,109.9576,72345.0,10283000.0,129.0186985,2.9054768,904.4421548,111106151.9,446300.0
Mozambique,Africa,2014,673.9699555,26286163.0,8905226.0,13533848.0,771450.0,1.2,1.23,1.55,1.58,7951655999.0,3916382362.0,3657118767.0,724851023.5,102630043.7,107.598,19763.59968,1661000.0,70.31310851,0.140701253,478.9211723,19574342.62,786380.0
Nigeria,Africa,2014,3222.693537,176404902.0,82878551.0,93584254.0,4851220.0,0.84,1.09,0.56,0.62,61536216035.0,82595804758.0,24911354312.0,1991350466.0,20799005200.0,90.10355,61512.45295,4803000.0,78.77348827,0.008922653,144.5254622,252840000.0,910770.0
Peru,South America,2014,6672.880255,30090359.0,23221633.0,19425185.0,2124329.0,1.17,1.41,1.46,1.63,40711494255.0,39532682886.0,8029250512.0,5657290946.0,2636539865.0,101.1357,117800.0,3215000.0,105.9476991,5.872502219,1345.879589,465593559.8,1280000.0
Senegal,Africa,2014,1394.794743,14174731.0,6440431.0,7570329.0,435619.0,1.51,1.53,1.7,1.72,5776498230.0,2978755924.0,1451525962.0,1320730585.0,1798692363.0,85.5735,4044.0,963000.0,101.4461642,0.729198612,229.3517951,5895857.282,192530.0
Suriname,South America,2014,9472.0076,553273.0,365653.0,361206.0,36097.0,1.34,1.52,1.29,1.57,1965641551.0,2148859163.0,803105984.3,202681345.6,8833808.604,113.3312,2796.0,252000.0,167.6929834,8.386456596,3596.777721,13859448.62,156000.0
Tanzania,Africa,2014,1030.092917,49959822.0,15439583.0,26318529.0,1266727.0,1.2,1.27,1.29,1.31,10917798123.0,5160301465.0,2648272159.0,3395964452.0,357608632.0,86.7885,31106.181,1113000.0,63.77561693,0.169333567,103.6833158,1098666.333,885800.0
Togo,Africa,2014,640.1139137,7137997.0,2825148.0,3915330.0,199297.0,1.29,1.22,1.25,1.16,2212432147.0,1325739014.0,426022785.3,488858191.6,373613882.3,123.9458,10599.37036,282000.0,63.26861866,0.176660129,154.6652373,384292.5844,54390.0
Tunisia,Africa,2014,4305.474165,11063201.0,7497753.0,7611877.0,835478.0,0.68,0.69,0.91,0.93,23402771437.0,16841268205.0,3400297466.0,4733768242.0,1961329465.0,113.3336,60419.0,7163000.0,129.1094051,5.129970973,1454.642287,19438349.51,155360.0
"Venezuela, RB",South America,2014,16054.49051,30045134.0,26482983.0,19544721.0,1856701.0,0.008,0.011,0.015,0.023,47223000000.0,74672000000.0,17028000000.0,2130000000.0,106000000.0,101.3407,90235.0,857000.0,101.6145342,7.988834525,2718.942775,400000000.0,882050.0
Zambia,Africa,2014,1763.056239,15399753.0,6372726.0,7919582.0,317877.0,1.59,1.48,1.68,1.48,8594794743.0,10220151404.0,1644387981.0,850866423.6,58300302.43,104.332,8050.0,947000.0,65.68185874,0.133255081,717.3491679,1885050.0,743390.0
Algeria,Africa,2012,5592.326098,37383887.0,25763106.0,24959494.0,2080796.0,0.17,0.19,0.29,0.32,51508891624.0,71438958670.0,10873360994.0,3748971944.0,50860802.6,118.0796,54292.0,2634000.0,100.384679,3.08889162,1237.966507,137274934.9,2381740.0
Argentina,South America,2012,13082.66433,41733271.0,38027774.0,26687228.0,4340683.0,1.33,1.05,1.46,0.96,65042742213.0,80083655000.0,18344325454.0,14247100730.0,421861583.5,114.2272,101716.2689,6497000.0,154.059023,12.33040075,3000.603523,2216992900.0,2736690.0
Azerbaijan,Western Asia,2012,7496.294648,9295784.0,5008847.0,6665638.0,534180.0,0.57,0.56,0.76,0.75,9963489000.0,31877133000.0,7429580000.0,4808744000.0,1852412000.0,97.95531,16597.0,1986000.0,109.2880368,14.78294152,2052.650965,28180000.0,82657.99805
Benin,Africa,2012,837.8949968,9729248.0,4293031.0,5172095.0,314860.0,1.26,1.21,1.24,1.04,2002092598.0,1442622239.0,585154008.5,433937560.7,189180149.7,127.2151,1381.0,220000.0,86.41824256,0.429231485,93.1212772,2321130.292,112760.0
Bolivia,South America,2012,2609.880819,10377676.0,6985733.0,6222543.0,660866.0,0.54,0.54,0.7,0.7,7997488635.0,11132827855.0,1921422622.0,1125167106.0,1094341361.0,98.31224,41974.6792,798000.0,91.47719586,1.124606318,654.4817934,42441212.07,1083300.0
