Country Name,Region,Year,GDP_perCapita,population,urbanPopulation,PopulationAge15-64,PopulationAge65+,dieselFuelPrice,dieselFuelPrice_year-2,gasolinePrice,gasolinePrice_year-2,goodsImports,goodsExports,serviceImports,serviceExports,personalTransfers,schoolEnrollPrimary,airTransportDeparture,internationalTourism,mobileSubscriptionPer100People,broadbandSubscriptionPer100People,electricPowerConsumption,chargesOfIntellectualProperty,landArea
Albania,Eastern Europe,2016,4124.108907,2876101.0,1680247.0,1974733.0,372633.0,1.35,1.71,1.36,1.76,3670525694.0,789221582.4,1770873915.0,2650667814.0,996202980.9,105.5539,306.0,4070000.0,116.7444442,9.228640975,3232.688106,23163082.28,27400.0
Algeria,Africa,2016,3946.421445,40551404.0,28977628.0,26300653.0,2436320.0,0.17,0.16,0.28,0.27,49316882927.0,29316936939.0,10879459440.0,3429915247.0,1728036632.0,113.8302,73465.0,2039000.0,116.0042077,7.051711073,1731.092213,152897904.4,2381740.0
Argentina,South America,2016,12790.24247,43590368.0,39940546.0,27924236.0,4733904.0,1.0,1.33,1.1,1.52,53543776749.0,57959933691.0,21876362070.0,13424706884.0,312737270.0,110.7392,149334.0,6668000.0,146.4538276,16.60166322,3890.360164,2108388364.0,2736690.0
Austria,Western Europe,2016,45237.80509,8736668.0,5058968.0,5846595.0,1652029.0,1.15,1.55,1.2,1.6,142629000000.0,145575000000.0,49748429078.0,61431634533.0,298710196.3,102.2644,149030.0,28121000.0,126.6614696,28.84661223,9659.62858,1466531271.0,82522.99805
Belarus,Eastern Europe,2016,5022.626643,9501534.0,7378986.0,6562719.0,1369717.0,0.62,1.06,0.6,1.06,25611100000.0,23099800000.0,4381400000.0,6883900000.0,537800000.0,101.077,26857.0,10935400.0,121.112623,32.47559748,3537.682129,125700000.0,202988.0078
Belgium,Western Europe,2016,42012.0999,11331422.0,11095615.0,7321394.0,2081792.0,1.32,1.69,1.43,1.9,267136000000.0,269061000000.0,105119000000.0,108879000000.0,183744920.8,103.3178,147324.0,7481000.0,110.5368746,37.60922178,8367.042979,2759594691.0,30280.0
Benin,Africa,2016,789.0849152,10872067.0,5026048.0,5859860.0,351768.0,0.72,1.1,0.72,1.03,2443635977.0,1774483915.0,665283143.9,353934685.0,201258778.5,130.9023,10.0,267000.0,81.7921125,0.20509447,129.8041262,596399.8772,112760.0
Bolivia,South America,2016,3076.658949,11031813.0,7583048.0,6742195.0,761263.0,0.55,0.54,0.71,0.7,7930773107.0,7029946630.0,2857927957.0,1244740246.0,1233038013.0,96.5925,45722.0,961000.0,91.60973889,2.606905809,937.0933767,99382292.88,1083300.0
Brazil,South America,2016,8712.887044,206163058.0,177386818.0,143590074.0,17115012.0,0.95,1.02,1.02,1.27,139680000000.0,184315000000.0,63747069972.0,33300291480.0,2365066660.0,113.9454,826943.0,6547000.0,118.3855945,12.98156707,3148.312442,5140803656.0,8358140.0
Bulgaria,Eastern Europe,2016,7469.455638,7127822.0,5298039.0,4651208.0,1456167.0,1.09,1.51,1.11,1.49,26639460000.0,25553360000.0,5136460000.0,8933180000.0,962730000.0,91.08322,12187.0,8252000.0,125.4743844,23.73603406,4921.049363,183510000.0,108560.0
Cambodia,Southeast Asia,2016,1278.631062,15766293.0,3560344.0,10146088.0,671273.0,0.8,1.24,0.9,1.34,14119418262.0,10272926617.0,2430495633.0,4032905458.0,939327279.9,110.1877,11933.0,5012000.0,126.3169742,0.619302243,320.4166965,10412895.41,176520.0
Cameroon,Africa,2016,1363.403851,23926539.0,13202425.0,12969357.0,653575.0,0.94,1.14,1.03,1.24,4827149065.0,4589968663.0,2247930200.0,1656572813.0,179054095.5,116.1173,8212.0,994000.0,78.22900593,0.192146373,303.8934866,905589.0408,472710.0
China,East Asia,2016,8078.790474,1378665000.0,782199374.0,995434081.0,135145444.0,0.81,1.09,0.96,1.17,1500640000000.0,1989520000000.0,441550000000.0,208404000000.0,8342304876.0,97.96192,3952098.0,59270000.0,96.52661691,22.81370164,5621.084301,23979580208.0,9388210.0
Colombia,South America,2016,5871.223524,48171392.0,38589139.0,32765191.0,3823020.0,0.64,1.04,0.68,1.08,43238949428.0,34063233599.0,11300659281.0,7770924371.0,4868767837.0,116.2337,366188.0,3254000.0,121.8160055,12.27392136,1521.890438,438586639.1,1109500.0
Costa Rica,North America,2016,11666.45591,4899345.0,3808506.0,3389558.0,439249.0,0.79,1.21,0.98,1.44,14526327122.0,10100261496.0,3427283777.0,8537126907.0,514795773.1,111.7611,46405.0,2925000.0,170.0362804,13.04433552,2370.383182,503368674.6,51060.0
Cote d'Ivoire,Africa,2016,1481.652231,23822714.0,11883008.0,13054491.0,671882.0,0.93,1.17,0.93,1.42,7810109086.0,10875534355.0,2902277230.0,913329928.7,171957158.6,95.88669,9463.0,1583000.0,115.2314132,0.572478854,298.6186177,2711598.39,318000.0
Croatia,Eastern Europe,2016,12360.47326,4174349.0,2354458.0,2753101.0,818827.0,1.17,1.59,1.26,1.66,19757226412.0,11644321582.0,3941365100.0,13647424010.0,1113037892.0,98.20057,26171.0,13809000.0,104.888678,24.80146614,4270.882525,268810881.5,55960.0
Czech Republic,Western Europe,2016,18463.38658,10566332.0,7773650.0,7002545.0,1957048.0,1.11,1.6,1.17,1.67,120515000000.0,130600000000.0,19841031534.0,24245582816.0,755936257.6,100.2089,43878.0,9321000.0,117.5742832,28.91055035,6666.651802,1193119443.0,77220.0
Dominican Republic,North America,2016,7280.873164,10397743.0,8259551.0,6735370.0,695524.0,0.91,1.21,1.07,1.41,17398600000.0,9839600000.0,3369600000.0,8309200000.0,5260800000.0,110.2988,1170.0,5959300.0,83.75022036,7.379997251,2070.003818,98400000.0,48310.0
Ecuador,South America,2016,6060.093329,16491115.0,10477465.0,10641596.0,1115426.0,0.29,0.29,0.61,0.6,15852051137.0,17419375499.0,3200336114.0,2145849646.0,2601964649.0,104.935,55430.0,1569000.0,84.18035505,8.861838095,1816.754303,46324537.67,248360.0
"Egypt, Arab Rep.",Africa,2016,3525.020165,94447072.0,40359123.0,57809111.0,4860812.0,0.15,0.25,0.4,0.88,51066100000.0,20018300000.0,17235300000.0,13606000000.0,18590400000.0,105.3936,115856.0,5258000.0,103.540997,4.731924302,2235.302873,187700000.0,995450.0
El Salvador,North America,2016,3800.103302,6356143.0,4481144.0,4082037.0,503816.0,0.7,1.02,0.83,1.12,8975940027.0,4322313880.0,1741346407.0,2548882978.0,4543839151.0,99.80045,28670.0,1434000.0,151.6211797,6.219290535,1234.664745,136773816.8,20720.0
Estonia,Northern Europe,2016,18237.29584,1315790.0,902145.0,852779.0,250764.0,1.14,1.51,1.14,1.46,13328262358.0,12499369628.0,4328092902.0,6099468431.0,122846600.6,97.1178,16179.0,3131000.0,144.1630523,29.98731495,7486.359166,51669819.03,43470.0
Finland,Northern Europe,2016,43777.44009,5495303.0,4686120.0,3455181.0,1142525.0,1.34,1.78,1.45,1.89,58458765192.0,58862749851.0,29729608387.0,26870062284.0,84092063.44,100.4188,162119.0,2789000.0,133.9848042,31.1402214,16617.47596,876760776.6,303910.0
France,Western Europe,2016,36962.22229,66859768.0,53432321.0,41767527.0,12893321.0,1.2,1.63,1.39,1.79,556913000000.0,521166000000.0,236706000000.0,259215000000.0,511415120.0,102.2604,599427.0,82682000.0,104.4897355,42.80350858,7623.655336,14758389447.0,547556.9922
