Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Afghanistan,AFG,5300,3409,21677,25021,17775,21696,25920,23532,22770,24207,24433.446,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Albania,ALB,..,3885,9412,10373.21094,10309.17914,11196,1992,..,306,1904,2935,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Algeria,DZA,44100,40202,53088,53286,54292,55516,60066,65940,73465,74714,77463,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,American Samoa,ASM,..,..,3420.570755,3577.613861,3963.003648,8580,9144,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Angola,AGO,6900,4399,17060,12282,13072,14496,13716,13116,15482,13494,13978,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Antigua and Barbuda,ATG,58000,62070,39865,36533.604,33606.03922,52572,46404,40047,40928,24019,23206.96627,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Argentina,ARG,114000,168815,92847.50654,90214.52053,101716.2689,145136.0207,134521,145585,149334,146631,161688,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Armenia,ARM,..,4406,8761,5561,6043,852,0,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Aruba,ABW,..,..,..,..,..,..,..,..,..,2132,2276,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Australia,AUS,255900,382514,572906,593145.0025,622917,641451,664970,668961,682937,672349,665384,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Austria,AUT,42000,138700,176195,166729.9973,162715.736,166251,162576,152056,149030,156761,130260,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Azerbaijan,AZE,..,8012,9885,15082,16597,15886,21910,23781,24009,20699,19960,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Bahamas, The",BHS,18900,31416,26395,28393,30640,34188,53366,48535,49095,48017,56629.4567,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bahrain,BHR,10900,21303,62473,60778.71626,63711.97917,52452,55980,57444,55592,54474,57094,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bangladesh,BGD,13000,6313,19299.82618,26535,26996.25441,59064,65364,55864,59728,70503,101383.4657,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Barbados,BRB,700,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Belarus,BLR,..,5772,12101,14378,14608,17820,21168,22939,26857,29562,31676,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Belgium,BEL,66500,225906,127677.5322,131577,132099.3425,130230,132976.5296,141116,147324,145540,140674,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Belize,BLZ,..,..,19855,31755,59089,71401,112760,120072,121581,141319,125681.6909,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Benin,BEN,500,1518,1255.454545,1381,1381,1728,648,1209,10,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bhutan,BTN,600,1138,3053.399927,4146.031775,3553,5820,8772,4640,6065,4215,5187,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bolivia,BOL,15600,21566,37019,40751.45072,41974.6792,33467,51017.00187,42682,45722,54102,56592,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bosnia and Herzegovina,BIH,..,4768,1573.549757,1060.065672,750.069403,552,420,81,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Botswana,BWA,5800,6703,7681,7910.25856,8422.23448,9396,8304,7741,7933,7002,6774,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Brazil,BRA,415900,628081,841793,970561,1002565,952307,937437,944557,826943,803846,832683,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Brunei Darussalam,BRN,4400,12739,12333,11672,10374,10920,10392,11624,11058,10743,11310,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bulgaria,BGR,37200,12158,11321,12297,11826,11736,11755,11768,12187,11748,11435,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Burkina Faso,BFA,2200,3368,4235,3983.150259,3856.224563,3780,3672,3875,3861,3863,4270,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Burundi,BDI,900,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cabo Verde,CPV,6700,13010,10363,10658.07129,10555.22865,8148,7728,7989,8745,4868,1546,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cambodia,KHM,..,..,5104.722222,7191,7432,11897.04324,14732,12983,11933,14372,14387,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cameroon,CMR,7100,5580,0,3036,4938,5640,5640,5499,8212,5640,5550,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Canada,CAN,346800,963468,1234528.619,1245743.616,1280198.186,1263297.337,1290419,1322033,1359442,1443818,1475062.586,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Central African Republic,CAF,3800,1518,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Chad,TCD,1200,1518,699.5314484,984,664,72,72,..,..,..,..,..
