Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Afghanistan,AFG,..,..,0.005139537,..,0.004813651,0.004648339,0.004494948,0.020535484,0.024873504,0.046313499,0.047054334,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Albania,ALB,..,..,3.579992422,4.377871687,5.493573307,6.286818262,7.180321133,8.402314745,9.228640975,10.52684499,12.51451744,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Algeria,DZA,..,..,2.501566606,2.675159149,3.08889162,3.35604493,4.109815688,5.712209454,7.051711073,7.756293558,7.255388363,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Andorra,AND,..,..,29.01396109,30.762893,32.64100355,34.33530592,36.31979599,39.34573329,42.03267915,44.52409709,46.31197569,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Angola,AGO,..,..,0.064222649,0.06530375,0.081695302,0.085648015,0.325702323,0.550742009,0.42692224,0.325048666,0.355604536,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Antigua and Barbuda,ATG,..,..,8.087199527,6.72246311,14.45652535,17.09755671,11.61815864,10.68764295,9.7972008,9.431391864,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Argentina,ARG,..,..,9.850015718,11.0647814,12.33040075,14.81423726,15.29042819,15.91589272,16.60166322,17.84999661,19.10152239,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Armenia,ARM,..,..,3.252541689,5.582161612,7.352142718,8.388287086,9.369734814,9.786833464,10.18921762,10.7076869,11.7709355,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Aruba,ABW,..,..,18.90153341,..,..,18.61204548,18.50174417,18.20952454,..,..,..,..
