Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Afghanistan,AFG,..,..,27577849.86,47084262.04,10738034.53,10944020.31,107890.1091,242475.5418,36802.95,180660.3999,2402430.875,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Albania,ALB,..,..,12138446.11,12703928.18,23362460.05,22607333.78,21881927.42,24578013.75,23163082.28,13132426.91,26412466.5,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Algeria,DZA,1339658.257,..,92466206.42,90367205.16,137274934.9,162112437.3,143997401.9,250010594.1,152897904.4,147130927.5,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Angola,AGO,..,5630000,6378100,3185000,224315044.6,212220137.3,252852819.1,264702200,212229720,221726875.7,246614994.8,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Antigua and Barbuda,ATG,..,288888.8889,1200365.556,1094687.037,1147304.444,1181754.444,2975174.815,3074426.822,4026738.886,4961232.208,5321410.686,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Argentina,ARG,409000000,580337544.9,1712212410,2079139111,2216992900,2329270062,2098996166,2178066124,2108388364,2297608490,2025250465,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Aruba,ABW,..,458100.5587,14748603.35,10558659.22,9720670.391,8645172.626,10903194.97,13810224.58,16327503.35,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Australia,AUS,825954292.2,1160197303,3423557729,4110573493,4165820497,3913990517,3973566695,3526073729,3318284382,3421241900,3619620713,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Austria,AUT,..,..,1610873768,1864971068,1955209022,1754327695,1777037546,1459761886,1466531271,1775596971,1996618628,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Azerbaijan,AZE,..,..,16531000,18423000,28180000,..,..,..,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,"Bahamas, The",BHS,3200000,14200000,10570000,15272000,16753000,19200000,19514760.92,17658586.93,22875962.77,14190513.67,10285993.17,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Bangladesh,BGD,..,4420433.713,17636698.54,10470569.01,10816541.94,20488449.15,30127601.64,24374495.85,46541986.24,25938279.03,39714043.38,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Barbados,BRB,4000000,23700000,19147648.53,12425727,9222731.572,12137663.51,..,..,..,..,..,..
