Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Albania,ALB,552.2521848,1449.647413,1943.343354,2205.70392,2118.327776,2533.252829,2309.366503,2960.776027,3232.688106,3504.600185,3776.512264,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Algeria,DZA,531.5838983,683.2948723,1016.636669,1123.332731,1237.966507,1278.915343,1362.871919,1591.576683,1731.092213,1870.607743,2010.123273,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Angola,AGO,53.1717991,75.26467824,206.4544105,207.0133429,219.2534303,280.2145467,312.228825,364.7815525,407.6340465,450.4865406,493.3390347,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Argentina,ARG,1303.977899,2088.80814,2877.652653,2929.075029,3000.603523,2967.376558,3074.702071,3633.493728,3890.360164,4147.226601,4404.093037,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Armenia,ARM,2722.593114,1297.567005,1726.259758,1807.033316,1892.013429,1931.264115,1961.610395,1784.077267,1753.727257,1723.377248,1693.027238,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Australia,AUS,8527.228085,10193.91218,10726.92818,10627.29387,10407.74031,10220.8873,10071.39898,10734.66628,10890.64039,11046.6145,11202.58861,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Austria,AUT,6111.47652,7076.269483,8382.711154,8425.167753,8548.882199,8509.61158,8355.841952,9310.844597,9659.62858,10008.41256,10357.19655,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Azerbaijan,AZE,2575.639056,2040.47909,1603.431374,1705.424633,2052.650965,2092.536521,2202.393918,1958.022085,1937.793479,1917.564874,1897.336268,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bahrain,BHR,15621.12471,20014.71537,18038.29602,17912.59405,17849.24416,18693.12388,19596.95376,19545.90061,19870.73105,20195.56149,20520.39193,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bangladesh,BGD,49.78096955,104.6077431,247.2633825,265.6394213,283.4621656,301.961168,320.2041582,402.1563153,446.5197153,490.8831152,535.2465152,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Belarus,BLR,4380.900972,2996.309475,3563.637766,3628.45729,3697.397484,3648.32146,3679.97884,3561.431511,3537.682129,3513.932746,3490.183364,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Belgium,BEL,6380.31322,8247.677113,8393.949623,8028.798731,7988.524644,7989.671853,7709.123078,8257.578905,8367.042979,8476.507054,8585.971128,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Benin,BEN,34.95031431,58.11285283,95.44246988,91.53530927,93.1212772,96.75560853,100.2251225,120.1330997,129.8041262,139.4751528,149.1461793,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bolivia,BOL,266.1386817,415.8814691,596.5015987,629.0050851,654.4817934,695.9531703,742.5383997,863.974707,937.0933767,1010.212046,1083.330716,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bosnia and Herzegovina,BIH,2937.655696,2030.296632,3155.603389,3343.735276,3479.083887,3474.27952,3446.766668,3800.885751,3970.127865,4139.369979,4308.612093,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Botswana,BWA,769.376634,1155.577625,1561.064966,1503.422146,1756.268904,2126.508337,1815.558069,2280.483764,2468.898395,2657.313026,2845.727657,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Brazil,BRA,1460.760349,1897.353137,2374.116653,2430.803396,2501.474053,2568.829708,2619.960616,2971.601322,3148.312442,3325.023561,3501.73468,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Brunei Darussalam,BRN,4325.122429,7545.810634,8810.073949,8783.605291,9240.856264,9873.374528,10291.16405,11693.43459,12514.29298,13335.15137,14156.00976,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bulgaria,BGR,4758.731903,3673.606871,4560.414917,4863.691441,4761.912583,4639.706323,4708.927458,4850.182104,4921.049363,4991.916621,5062.78388,..
