Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,..,543.3030419,591.1623465,641.8720338,637.1650439,613.8563329,578.4663529,547.2281102,556.3021385,520.8966027,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,617.2304355,1126.683318,4094.362119,4437.178067,4247.614279,4413.081743,4578.66672,3952.829458,4124.108907,4532.890162,5268.848504,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,2408.688815,1764.888222,4480.724539,5455.741338,5592.326098,5499.581487,5493.02559,4177.867517,3946.421445,4044.298372,4114.715061,..
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,10271.22452,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.95556,10823.4448,11466.69071,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,18878.50597,21936.5301,39736.35406,41100.72994,38392.9439,40626.75163,42300.33413,36039.6535,37224.10892,39134.39337,42029.76274,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,947.7041821,556.8363181,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942,3432.385736,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,7348.212943,10920.84269,13049.25705,12746.20502,13272.44133,12909.74418,13501.58092,14286.09316,15197.61746,15383.41519,16726.98081,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,4333.482973,7708.100996,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14591.86338,11683.94962,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,637.8546595,622.7421391,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276,3914.501268,4212.070943,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,12307.31174,20620.70063,23512.6026,24985.99328,24713.69805,25025.09956,25533.56978,25796.38025,25239.60041,25630.26649,..,..
