Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Afghanistan,AFG,..,..,435773347.6,460318410.7,475530985.2,505792648.2,641767413.5,577859765.7,614213872.1,783962916.8,875237094.5,..
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Albania,ALB,322100000,95200000,739411255.8,962502319,1123281061,1417739063,1239878797,855336790.7,789221582.4,901243616.8,1163648667,..
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Algeria,DZA,12963761314,..,57098374720,72779523484,71438958670,64817044407,60033584184,34449182418,29316936939,34569616296,..,..
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Angola,AGO,3883900000,7920710000,50594853215,67310283732,71093269880,68246518071,59169884895,33181130226,27588875075,34613454928,40757766797,..
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Antigua and Barbuda,ATG,33425925.93,52353966.67,45715381.11,56150986.3,59042074.07,64197195.56,98707946.47,67572501.53,50060382.71,37177841.74,38051851.85,..
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Argentina,ARG,12354000000,26337200000,68305873000,83119709000,80083655000,75928228361,68440435907,56809053493,57959933691,58638966013,61637570099,..
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Armenia,ARM,..,313760102,1197479193,1431559506,1515701955,1635856170,1698148850,1623898609,1890685339,2385248364,2630440194,..
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Aruba,ABW,155474860.3,234692737.4,264525139.7,5180167598,1388882682,278988734.1,258945444.7,332533356.4,283108015.1,..,..,..
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Australia,AUS,39732496801,64039984645,2.1381E+11,2.71926E+11,2.5839E+11,2.54181E+11,2.40671E+11,1.88212E+11,1.9291E+11,2.3155E+11,2.57849E+11,..
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Austria,AUT,..,..,1.45031E+11,1.70268E+11,1.60182E+11,1.64299E+11,1.67468E+11,1.43325E+11,1.45575E+11,1.58924E+11,1.79054E+11,..
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Azerbaijan,AZE,..,1858335000,25741126000,33996343000,31877133000,31781146000,28259658000,15586052000,13210511000,15152059000,20793769000,..
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,"Bahamas, The",BHS,283500000,464800000,702435000,833539000,984017000,954914000,833944931.7,520531829.2,481397433.1,570600436.5,641734133.9,..
