Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Afghanistan,AFG,..,..,4706037123,5656151933,8005963851,8566143630,6796000081,7298362797,6263142173,6737370021,6595873291,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Albania,ALB,455900000,921000000,3775932876,4460790005,3981753339,4029275073,4170432937,3403344745,3670525694,4105844352,4544969329,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Algeria,DZA,8776771070,..,38797066194,46800967101,51508891624,54871842664,59457444971,52261207236,49316882927,48810762377,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Angola,AGO,1578200000,3039510000,16666858027,20228447302,23703843194,26330987036,28580270906,20692537061,13040490878,14463243324,15797847354,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Antigua and Barbuda,ATG,235440740.7,342390740.7,453883553,430720477,483547436.7,494380492.2,532352266.3,426109557.4,443151157.4,493872461.4,603759259.3,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Argentina,ARG,3726000000,23889100000,54158763702,70768777913,65042742213,71292993120,62898966094,57594229886,53543776749,64100962262,62504887460,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Armenia,ARM,..,780696904,3263209402,3541391955,3627612271,3832017543,3753551044,2810299283,2835626777,3761336499,4419534026,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Aruba,ABW,580837988.8,858039106.1,1394245810,5916759777,2044916201,1376733346,1349605841,1252057109,1141898974,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Australia,AUS,39236085998,68928612291,2.02474E+11,2.49182E+11,2.66665E+11,2.46871E+11,2.38481E+11,2.07225E+11,1.98711E+11,2.21064E+11,2.36743E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Austria,AUT,..,..,1.46872E+11,1.75314E+11,1.64244E+11,1.65643E+11,1.66436E+11,1.40783E+11,1.42629E+11,1.57236E+11,1.74704E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Azerbaijan,AZE,..,1539005000,6306941000,9867911000,9963489000,11172912000,9332001000,9773629000,9004176000,9037316000,10952441000,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"Bahamas, The",BHS,1080000000,1983100000,2591499000,2965656000,3385465000,3165946000,3344241610,2954035033,2631619793,3109004930,3316814472,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Bahrain,BHR,3524202128,4375292553,11190425532,12105851064,19704521277,21280053191,19784521277,15709574468,13588297872,16076063830,19110106383,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Bangladesh,BGD,3259359364,8025436323,25081635495,32607377241,32170683011,35000571811,37406403143,37856277963,40365988424,48266578855,55599670650,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Barbados,BRB,627600000,1030284500,1506623047,1738062740,1697109141,1687085133,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Belarus,BLR,..,7062900000,33794800000,44394400000,45008900000,41133500000,38058700000,28306800000,25611100000,31669100000,35932600000,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Belgium,BEL,..,..,2.76154E+11,3.3741E+11,3.13264E+11,3.2154E+11,3.17989E+11,2.4887E+11,2.67136E+11,2.93792E+11,3.25666E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Belize,BLZ,188400000,467658722.3,647223347.8,778175075.1,836979649.9,875907313.1,925532396.2,961264733.3,916128466.5,845856590.3,896494220.2,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Benin,BEN,323369028.6,514772209.6,1775176238,1800353627,2002092598,2593706143,3272695477,2187190865,2443635977,3065545227,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Bermuda,BMU,..,..,988034768.2,900408833.8,900357454.4,1011521573,969157591.4,939692650.8,979798198.4,1094499642,1100477023,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Bhutan,BTN,..,..,795022573.2,1127988408,1012422491,923477953.7,928824753.2,1008584799,1029908146,1025082315,1019591439,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Bolivia,BOL,775600000,1610160000,5006774120,7126366595,7997488635,8729181721,9893765587,9071898887,7930773107,8621274231,9354491247,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Bosnia and Herzegovina,BIH,..,3894169621,8253151005,9858446208,9088623611,9337199376,9980538889,8146989600,8365274531,9701333121,10804927234,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Botswana,BWA,1610940629,1773064189,5681124232,7210240343,8740998306,8100658160,7775555933,6974010452,5896826458,5142019749,6066890311,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Brazil,BRA,20661000000,55311052000,1.82833E+11,2.27881E+11,2.24864E+11,2.41189E+11,2.30727E+11,1.72422E+11,1.3968E+11,1.54109E+11,1.8649E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Brunei Darussalam,BRN,..,..,2568019073,3756641414,4116175062,4911721891,3667930427,3215783470,2658454285,3071512368,4106071118,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Bulgaria,BGR,7427000000,6000151670,23520630000,30293350000,30407630000,32069950000,31577860000,27206180000,26639460000,31359310000,34923500000,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Burkina Faso,BFA,..,..,1723395116,2368911364,2655772641,3327990761,3015549978,2604482683,2827514162,3247587234,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Burundi,BDI,189021758.4,107858715.5,438394337.3,552470250.2,711045615.5,675595584.2,655137799.9,603828555.5,527176200.9,647771297,676112757.4,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Cabo Verde,CPV,119829362.1,222345361.7,805639464.4,1040267089,829856041.7,811291226.1,866701991.3,629178642.9,687435654.8,849341581.3,959518006.5,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Cambodia,KHM,..,1935729763,6587517405,8147785680,9211596155,10679623071,12021985932,13285145515,14119418262,15501619464,18806463876,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Cameroon,CMR,1430041699,1473223249,4625896014,6232483987,6031217116,6277076732,7011114813,5588980899,4827149065,4827133376,5717531344,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Canada,CAN,1.20638E+11,2.43653E+11,4.01726E+11,4.61045E+11,4.75084E+11,4.73064E+11,4.75033E+11,4.29445E+11,4.1306E+11,4.42496E+11,4.68579E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,918418792.7,965128815.3,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Central African Republic,CAF,241592019.6,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Chad,TCD,259453308.4,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Chile,CHL,7089200000,17028810000,55216025752,70665531276,75454633024,74754501796,68598849439,58608965865,55854733591,61499962760,70782959178,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,China,CHN,42354000000,1.24897E+11,1.23999E+12,1.5791E+12,1.66195E+12,1.78961E+12,1.80872E+12,1.56656E+12,1.50064E+12,1.74027E+12,2.02227E+12,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Colombia,COL,5108000000,11042499113,38405832816,52125545572,56648290244,57103075809,61539344538,52050752073,43238949428,44247175427,49582576422,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Comoros,COM,45228413.27,..,177513311.9,199736909.7,217829162.2,..,240708648.8,185304455.2,184155447.9,210662018.8,244742307.7,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"Congo, Dem. Rep.",COD,..,..,8042500000,8915600000,8677239103,10808444682,12706297174,10574609454,12148807505,11340009688,14972692991,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"Congo, Rep.",COG,512736153.1,455276406.9,3969632982,4178076029,4088583844,4284464496,5402625840,5787297067,5071048174,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Costa Rica,CRI,1796700000,5180937181,11040420104,13328708868,14270608616,14425143237,14784329141,14059490160,14526327122,15150322864,15862847230,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Cote d'Ivoire,CIV,..,..,7788624608,6666551280,9056744044,9055199204,9094583367,8561991547,7810109086,8487125603,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Croatia,HRV,..,6632472195,18522267465,21076622536,19232524954,20571706829,21434053053,19282456345,19757226412,23534742087,25404007848,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Curacao,CUW,..,..,..,2100156425,2237435754,1883307263,1803687151,1518519553,1426346369,1468960894,1735810056,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Cyprus,CYP,2504366505,3556606002,9757308374,10142584693,8758411289,7845149928,7917765440,6781557972,7487272324,8781786997,9757354278,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Czech Republic,CZE,..,25544095996,1.12974E+11,1.33616E+11,1.27786E+11,1.28469E+11,1.35908E+11,1.20528E+11,1.20515E+11,1.34956E+11,1.51723E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Denmark,DNK,31197340384,43442836591,85208376996,1.01088E+11,97155636296,1.01643E+11,1.03555E+11,88971234800,86809906900,95876688964,1.05331E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Djibouti,DJI,..,206537212.8,373889410.9,510581191.9,564435266.5,570742906,663529411.8,870515417.5,705176682.4,767932703.1,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Dominica,DMA,103948148.1,130388888.9,196921632.2,198936543.7,183316057.8,178635586.7,202644622.7,195356740.7,187986335.6,174065827.9,265762963,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Dominican Republic,DOM,1792800000,6416000000,15209900000,17301600000,17673300000,16801200000,17273100000,16906500000,17398600000,17734300000,20208900000,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Ecuador,ECU,1715000000,3653382345,19635073726,23378937193,24512948909,26109329087,26653974326,20692541799,15852051137,19300831769,22379791444,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"Egypt, Arab Rep.",EGY,10302500000,15382000000,45144500000,47311500000,52350400000,48918100000,56446400000,50419900000,51066100000,52404100000,57635387500,..
