Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"International tourism, number of arrivals",ST.INT.ARVL,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
"International tourism, number of arrivals",ST.INT.ARVL,Albania,ALB,..,..,2191000,2469000,3156000,2857000,3341000,3784000,4070000,4643000,5340000,..
"International tourism, number of arrivals",ST.INT.ARVL,Algeria,DZA,..,866000,2070000,2395000,2634000,2733000,2301000,1710000,2039000,2451000,2657000,..
"International tourism, number of arrivals",ST.INT.ARVL,American Samoa,ASM,..,44000,23100,22600,22600,20800,21600,20300,20100,20000,20200,..
"International tourism, number of arrivals",ST.INT.ARVL,Andorra,AND,..,2949000,1808000,2242000,2238000,2328000,2363000,2663000,2819000,3003000,3042000,..
"International tourism, number of arrivals",ST.INT.ARVL,Angola,AGO,..,51000,425000,481000,528000,650000,595000,592000,397000,261000,218000,..
"International tourism, number of arrivals",ST.INT.ARVL,Antigua and Barbuda,ATG,..,207000,230000,241000,247000,243000,249000,250000,265000,247000,269000,..
"International tourism, number of arrivals",ST.INT.ARVL,Argentina,ARG,..,2909000,6800000,6703000,6497000,6510000,7165000,6816000,6668000,6711000,6942000,..
"International tourism, number of arrivals",ST.INT.ARVL,Armenia,ARM,..,45000,684000,758000,963000,1084000,1204000,1192000,1260000,1495000,1652000,..
"International tourism, number of arrivals",ST.INT.ARVL,Aruba,ABW,..,721000,824000,869000,904000,979000,1072000,1225000,1102000,1070500,1082000,..
"International tourism, number of arrivals",ST.INT.ARVL,Australia,AUS,..,4931000,5790000,5771000,6032000,6482000,6922000,7449000,8269000,8815000,9246000,..
"International tourism, number of arrivals",ST.INT.ARVL,Austria,AUT,..,17982000,22004000,23012000,24151000,24813000,25291000,26728000,28121000,29460000,30816000,..
"International tourism, number of arrivals",ST.INT.ARVL,Azerbaijan,AZE,..,..,1280000,1562000,1986000,2130000,2160000,1922000,2044000,2454000,2633000,..
"International tourism, number of arrivals",ST.INT.ARVL,"Bahamas, The",BHS,..,1544000,1370000,1346000,1422000,1366000,1446000,1502000,1500000,1442000,1633000,..
"International tourism, number of arrivals",ST.INT.ARVL,Bahrain,BHR,..,3869000,11952000,6732000,8062000,9163000,10452000,9670000,10158000,11374000,12045000,..
"International tourism, number of arrivals",ST.INT.ARVL,Bangladesh,BGD,..,199000,303000,155000,125000,148000,125000,643000,830000,1026000,..,..
"International tourism, number of arrivals",ST.INT.ARVL,Barbados,BRB,..,545000,532000,568000,536000,509000,521000,592000,632000,664000,680000,..
"International tourism, number of arrivals",ST.INT.ARVL,Belarus,BLR,..,60000,119300,116000,6129900,6241800,5374900,4385600,10935400,11060200,11501600,..
"International tourism, number of arrivals",ST.INT.ARVL,Belgium,BEL,..,6457000,7186000,7494000,7560000,7684000,7887000,8355000,7481000,8385000,9119000,..
"International tourism, number of arrivals",ST.INT.ARVL,Belize,BLZ,..,196000,242000,250000,277000,294000,321000,341000,386000,427000,489000,..
"International tourism, number of arrivals",ST.INT.ARVL,Benin,BEN,..,96000,199000,209000,220000,231000,242000,255000,267000,281000,295000,..
"International tourism, number of arrivals",ST.INT.ARVL,Bermuda,BMU,..,332000,232000,236000,232000,236000,224000,220000,244000,270000,282000,..
"International tourism, number of arrivals",ST.INT.ARVL,Bhutan,BTN,..,7600,41000,66000,105000,116000,133000,155000,210000,255000,274000,..
"International tourism, number of arrivals",ST.INT.ARVL,Bolivia,BOL,..,319000,679000,711000,798000,798000,871000,882000,961000,1109000,1142000,..
"International tourism, number of arrivals",ST.INT.ARVL,Bosnia and Herzegovina,BIH,..,171000,365000,392000,439000,529000,536000,678000,778000,923000,1053000,..
"International tourism, number of arrivals",ST.INT.ARVL,Botswana,BWA,..,1104000,1973000,..,1614000,1544000,1966000,1528000,1574000,1623000,..,..
"International tourism, number of arrivals",ST.INT.ARVL,Brazil,BRA,..,5313000,5161000,5433000,5677000,5813000,6430000,6306000,6547000,6589000,6621000,..
"International tourism, number of arrivals",ST.INT.ARVL,British Virgin Islands,VGB,..,272000,330000,338000,351000,366000,386000,393000,408000,335000,192000,..
"International tourism, number of arrivals",ST.INT.ARVL,Brunei Darussalam,BRN,..,..,214000,242000,209000,225000,201000,218000,219000,259000,278000,..
