Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Land area (sq. km),AG.LND.TOTL.K2,Afghanistan,AFG,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,..
Land area (sq. km),AG.LND.TOTL.K2,Albania,ALB,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,..
Land area (sq. km),AG.LND.TOTL.K2,Algeria,DZA,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,..
Land area (sq. km),AG.LND.TOTL.K2,American Samoa,ASM,200,200,200,200,200,200,200,200,200,200,200,..
Land area (sq. km),AG.LND.TOTL.K2,Andorra,AND,470,470,470,470,470,470,470,470,470,470,470,..
Land area (sq. km),AG.LND.TOTL.K2,Angola,AGO,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,..
Land area (sq. km),AG.LND.TOTL.K2,Antigua and Barbuda,ATG,440,440,440,440,440,440,440,440,440,440,440,..
Land area (sq. km),AG.LND.TOTL.K2,Argentina,ARG,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,..
Land area (sq. km),AG.LND.TOTL.K2,Armenia,ARM,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,..
Land area (sq. km),AG.LND.TOTL.K2,Aruba,ABW,180,180,180,180,180,180,180,180,180,180,180,..
Land area (sq. km),AG.LND.TOTL.K2,Australia,AUS,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7692020,7692020,7692020,..
Land area (sq. km),AG.LND.TOTL.K2,Austria,AUT,82580,82580,82570.99609,82560.99609,82554.00391,82530.99609,82522.99805,82522.99805,82522.99805,82522.99805,82522.99805,..
Land area (sq. km),AG.LND.TOTL.K2,Azerbaijan,AZE,83217,82605,82655.99609,82657.99805,82657.99805,82659.00391,82662.99805,82662.99805,82670,82670,82670,..
Land area (sq. km),AG.LND.TOTL.K2,"Bahamas, The",BHS,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,..
Land area (sq. km),AG.LND.TOTL.K2,Bahrain,BHR,690,710,761.9999695,766.9999695,770,770,770.9999847,778.0000305,778.0000305,778.0000305,778.0000305,..
Land area (sq. km),AG.LND.TOTL.K2,Bangladesh,BGD,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,..
Land area (sq. km),AG.LND.TOTL.K2,Barbados,BRB,430,430,430,430,430,430,430,430,430,430,430,..
Land area (sq. km),AG.LND.TOTL.K2,Belarus,BLR,202840,202840,202900,202910,202910,202908.0078,202973.0078,202978.0078,202988.0078,202988.0078,202988.0078,..
Land area (sq. km),AG.LND.TOTL.K2,Belgium,BEL,..,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,..
Land area (sq. km),AG.LND.TOTL.K2,Belize,BLZ,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,..
Land area (sq. km),AG.LND.TOTL.K2,Benin,BEN,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,..
Land area (sq. km),AG.LND.TOTL.K2,Bermuda,BMU,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,..
Land area (sq. km),AG.LND.TOTL.K2,Bhutan,BTN,46722.99805,39800,38116.99951,38116.99951,38116.99951,38116.99951,38116.99951,38116.99951,38143.99902,38143.99902,38143.99902,..
Land area (sq. km),AG.LND.TOTL.K2,Bolivia,BOL,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,..
Land area (sq. km),AG.LND.TOTL.K2,Bosnia and Herzegovina,BIH,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,..
Land area (sq. km),AG.LND.TOTL.K2,Botswana,BWA,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,..
Land area (sq. km),AG.LND.TOTL.K2,Brazil,BRA,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,..
Land area (sq. km),AG.LND.TOTL.K2,British Virgin Islands,VGB,150,150,150,150,150,150,150,150,150,150,150,..
Land area (sq. km),AG.LND.TOTL.K2,Brunei Darussalam,BRN,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,..
Land area (sq. km),AG.LND.TOTL.K2,Bulgaria,BGR,110630,110630,108560,108560,108560,108560,108560,108560,108560,108560,108560,..
Land area (sq. km),AG.LND.TOTL.K2,Burkina Faso,BFA,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,..
Land area (sq. km),AG.LND.TOTL.K2,Burundi,BDI,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,..
Land area (sq. km),AG.LND.TOTL.K2,Cabo Verde,CPV,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,..
Land area (sq. km),AG.LND.TOTL.K2,Cambodia,KHM,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,..
Land area (sq. km),AG.LND.TOTL.K2,Cameroon,CMR,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,..
Land area (sq. km),AG.LND.TOTL.K2,Canada,CAN,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,..
Land area (sq. km),AG.LND.TOTL.K2,Cayman Islands,CYM,240,240,240,240,240,240,240,240,240,240,240,..
Land area (sq. km),AG.LND.TOTL.K2,Central African Republic,CAF,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,..
Land area (sq. km),AG.LND.TOTL.K2,Chad,TCD,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,1259200,..
Land area (sq. km),AG.LND.TOTL.K2,Channel Islands,CHI,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,..
Land area (sq. km),AG.LND.TOTL.K2,Chile,CHL,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,..
Land area (sq. km),AG.LND.TOTL.K2,China,CHN,9388250,9388220,9388211.25,9388211.25,9388211.25,9388211.25,9388211.25,9388211.25,9388210,9388210,9388210,..
Land area (sq. km),AG.LND.TOTL.K2,Colombia,COL,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,..
Land area (sq. km),AG.LND.TOTL.K2,Comoros,COM,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,..
Land area (sq. km),AG.LND.TOTL.K2,"Congo, Dem. Rep.",COD,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,..
Land area (sq. km),AG.LND.TOTL.K2,"Congo, Rep.",COG,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,..
Land area (sq. km),AG.LND.TOTL.K2,Costa Rica,CRI,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,..
Land area (sq. km),AG.LND.TOTL.K2,Cote d'Ivoire,CIV,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,..
Land area (sq. km),AG.LND.TOTL.K2,Croatia,HRV,55910,55910,55960,55960,55960,55960,55960,55960,55960,55960,55960,..
Land area (sq. km),AG.LND.TOTL.K2,Cuba,CUB,107400,107400,106440,106862.998,106449.0039,104220,104020,104020,104020,104020,104020,..
Land area (sq. km),AG.LND.TOTL.K2,Curacao,CUW,444,444,444,444,444,444,444,444,444,444,..,..
Land area (sq. km),AG.LND.TOTL.K2,Cyprus,CYP,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,..
Land area (sq. km),AG.LND.TOTL.K2,Czech Republic,CZE,77270,77270,77240,77240,77230,77220,77220,77210,77220,77220,77220,..
Land area (sq. km),AG.LND.TOTL.K2,Denmark,DNK,42390,42430,42430,42430,41990,41990,41990,41990,41990,41990,41990,..
Land area (sq. km),AG.LND.TOTL.K2,Djibouti,DJI,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,..
Land area (sq. km),AG.LND.TOTL.K2,Dominica,DMA,750,750,750,750,750,750,750,750,750,750,750,..
Land area (sq. km),AG.LND.TOTL.K2,Dominican Republic,DOM,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,..
Land area (sq. km),AG.LND.TOTL.K2,Ecuador,ECU,276840,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,..
Land area (sq. km),AG.LND.TOTL.K2,"Egypt, Arab Rep.",EGY,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,..
Land area (sq. km),AG.LND.TOTL.K2,El Salvador,SLV,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,..
Land area (sq. km),AG.LND.TOTL.K2,Equatorial Guinea,GNQ,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,..
Land area (sq. km),AG.LND.TOTL.K2,Eritrea,ERI,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,..
Land area (sq. km),AG.LND.TOTL.K2,Estonia,EST,42390,42390,42390,42390,42390,43470,43470,43470,43470,43470,43470,..
Land area (sq. km),AG.LND.TOTL.K2,Eswatini,SWZ,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,17200,..
Land area (sq. km),AG.LND.TOTL.K2,Ethiopia,ETH,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,..
Land area (sq. km),AG.LND.TOTL.K2,Faroe Islands,FRO,1396.000061,1396.000061,1396.000061,1396.000061,1396.000061,1396.000061,1396.000061,1396.000061,1396.000061,1396.000061,1396.000061,..
Land area (sq. km),AG.LND.TOTL.K2,Fiji,FJI,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,..
Land area (sq. km),AG.LND.TOTL.K2,Finland,FIN,304590,304590,303900,303890,303890,303890,303890,303910,303910,303910,303910,..
Land area (sq. km),AG.LND.TOTL.K2,France,FRA,547566.0156,547566.9922,547556.9922,547556.9922,547556.9922,547556.9922,547556.9922,547556.9922,547556.9922,547556.9922,547556.9922,..
Land area (sq. km),AG.LND.TOTL.K2,French Polynesia,PYF,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,..
