Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Afghanistan,AFG,0,0,35.00312672,45.81362616,49.22797697,52.08357627,55.15951463,57.27106807,61.05463771,65.92913406,59.12084823,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Albania,ALB,0,0.952019386,91.32805273,105.852915,120.1058579,126.9369686,115.9979353,117.6592183,116.7444442,125.7103519,94.17699827,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Algeria,DZA,0.001824614,0.277041908,91.11307345,97.14817842,100.384679,103.6101395,111.2386102,108.8089403,116.0042077,110.7672465,121.932482,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,American Samoa,ASM,0,3.445115097,..,..,..,..,..,..,..,..,..,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Andorra,AND,0,36.00397614,77.5556845,77.66725972,77.48067987,79.14799317,83.62390012,91.44351438,98.49282637,104.3324113,107.2825494,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Angola,AGO,0,0.157397106,40.26060095,49.84677338,50.92059955,51.06592034,52.15898327,49.79322295,45.07629005,44.68610714,43.13051888,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Antigua and Barbuda,ATG,0,28.94127552,190.8142864,197.2012145,140.8941588,124.9595699,129.6871286,188.1025159,190.4217843,192.819567,..,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Argentina,ARG,0.036788768,17.59645109,139.580018,146.9554555,154.059023,159.6394613,143.6158316,143.566834,146.4538276,140.8771235,132.0931513,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Armenia,ARM,0,0.569652439,134.3387369,111.6347151,115.2069146,115.4848446,118.7723634,118.4217138,116.9754675,118.4642306,121.259018,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Aruba,ABW,0,16.51018679,129.636369,..,131.6302652,134.5495788,134.6194615,135.13384,..,..,..,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Australia,AUS,1.090427418,45.08349055,101.558682,105.5506209,106.2611564,107.2461548,106.2025331,107.6778349,109.4312952,111.7080516,113.5787106,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Austria,AUT,0.954149231,75.80605745,145.5537959,154.0495234,159.8169515,155.1157881,150.345714,155.2154711,126.6614696,123.1192958,123.5352681,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Azerbaijan,AZE,0,5.17559282,100.7489875,110.6472854,109.2880368,107.9339038,111.0134613,111.1650782,104.6523726,102.8610548,103.9214187,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,"Bahamas, The",BHS,0.750127818,10.57671338,120.6892957,83.09462759,82.51188171,78.16564035,84.94710401,83.15606912,95.30865504,92.60913413,98.95082681,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Bahrain,BHR,1.037845991,30.9544982,126.2833841,132.5078179,163.3841919,168.0717065,174.3161125,183.6245336,210.0492218,158.2568089,133.3409369,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Bangladesh,BGD,0,0.218552945,46.02655537,56.51967967,64.35516997,76.29745621,82.10473758,84.07708629,86.07690632,94.5264735,97.28118695,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Barbados,BRB,0,10.48450362,124.0774676,122.9445169,123.1211733,108.2350789,107.2430185,117.337483,116.2395555,115.1391179,122.572835,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Belarus,BLR,0,0.499947729,109.6843993,113.5904037,113.373886,117.9437886,120.8889669,121.2815762,121.112623,120.7921902,122.925228,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Belgium,BEL,0.428519577,54.74598263,111.110074,113.456517,111.077829,110.4106783,113.4877626,113.1658212,110.5368746,104.7403936,103.4388249,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Belize,BLZ,0,6.797808463,60.22408703,67.34769272,51.01272189,50.50836672,48.75964298,58.72170181,60.51248643,63.72026431,85.52696498,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Benin,BEN,0,0.807987124,76.90743352,82.07742005,86.41824256,96.23029067,84.18939764,88.1051181,81.7921125,78.50459562,82.38429039,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Bermuda,BMU,1.804198981,19.99630837,134.8850724,..,140.5687628,146.4604106,92.90678244,59.66212397,100.8348853,103.0896604,..,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Bhutan,BTN,0,0,57.52214068,69.838511,79.9465778,76.64159992,86.85510844,92.83820321,94.79644581,97.99614519,93.26155771,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Bolivia,BOL,0,6.920904357,71.44577498,81.79095882,91.47719586,98.89329513,97.60728909,93.49660939,91.60973889,97.94841441,100.8164084,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Bosnia and Herzegovina,BIH,0,2.489512622,83.93621649,86.6192684,93.13639607,98.46759702,100.260848,100.4128758,100.5249735,102.6423792,104.1256346,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Botswana,BWA,0,13.52068417,118.9373989,143.9048667,151.097886,157.4163123,163.2901277,163.8751723,152.2730166,146.9601556,150.0055899,..
