Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Afghanistan,AFG,49.45923836,48.81468211,49.49372303,49.94394771,50.5239467,51.1931218,51.90783594,52.64429883,53.2079642,53.76322252,54.32489755,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Albania,ALB,61.73033892,62.60814516,66.89951198,67.51370625,68.01189803,68.37295397,68.59902531,68.70472473,68.66009247,68.64261422,68.58239036,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Algeria,DZA,53.2918002,61.32987203,67.26101388,67.01824764,66.76538119,66.44641223,66.00259811,65.42884525,64.85756642,64.18320494,63.48882487,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Angola,AGO,49.97046011,50.23328696,50.59763029,50.50803527,50.46797763,50.47179249,50.51979678,50.61516696,50.68562911,50.80778714,50.97470164,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Antigua and Barbuda,ATG,61.25255885,64.72847822,68.30213114,68.48733376,68.72103441,68.95624809,69.14608587,69.26875147,69.23207126,69.19288244,69.11908273,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Argentina,ARG,60.29159514,61.80916887,63.76901689,63.88072264,63.94712888,63.98269221,64.01546985,64.06001976,64.06056661,64.08352251,64.12127729,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Armenia,ARM,64.3240533,64.17314229,69.54546924,69.69530735,69.67964458,69.52199554,69.29291181,69.04257075,68.7610583,68.44896633,68.11276042,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Aruba,ABW,67.79674653,69.24042134,68.83809224,68.88560061,68.98693448,69.10885138,69.18110509,69.1597742,69.13761538,68.94633943,68.64660589,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Australia,AUS,66.8518331,66.793903,67.59110796,67.33382876,67.08384074,66.82679484,66.55144441,66.25804941,65.90657302,65.5309417,65.15290773,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Austria,AUT,68.1482102,67.78294608,67.48495145,67.42486929,67.35891667,67.27283607,67.16624799,67.03954297,66.9201963,66.81250731,66.70048591,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Azerbaijan,AZE,62.15622744,63.00237814,71.26638023,71.57633025,71.70604268,71.67595692,71.55420234,71.3895879,71.02714111,70.72264792,70.43524739,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,"Bahamas, The",BHS,63.2933031,65.30862168,67.00249618,67.36897141,67.84044402,68.37287462,68.88431413,69.31770201,69.77191543,70.06535605,70.25752197,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bahrain,BHR,65.12740684,67.40604654,77.60867463,77.5015628,77.39302616,77.23447714,77.03018169,76.82605472,77.26758181,77.78620365,78.319356,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bangladesh,BGD,54.76316161,59.18887607,63.24123467,63.71440142,64.17373515,64.63338145,65.11320972,65.61857714,66.11132307,66.625937,67.13558688,..
