Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Afghanistan,AFG,2.232542086,2.291944549,2.328131562,2.354461852,2.386293853,2.420207459,2.451574871,2.478662289,2.519922544,2.55425147,2.58492694,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Albania,ALB,5.494978353,7.058160712,10.64540541,11.01498604,11.38751091,11.77078921,12.1806923,12.62654761,12.95621108,13.3290733,13.74473591,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Algeria,DZA,3.359231339,4.307408922,5.456205838,5.508604475,5.566025156,5.636734408,5.733120075,5.863636564,6.007981181,6.177204873,6.362496545,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Angola,AGO,2.466968919,2.566879284,2.360756091,2.347429742,2.336002915,2.322782468,2.303043908,2.275861888,2.261018458,2.239196565,2.216373648,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Antigua and Barbuda,ATG,7.961233367,6.578878131,7.357886127,7.475378979,7.618710527,7.784431138,7.961150364,8.156809097,8.360574227,8.575231069,8.79982552,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Argentina,ARG,8.922392284,9.728636929,10.19502466,10.29700754,10.40101452,10.50734157,10.61640066,10.72881571,10.85997758,10.98970711,11.11778888,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Armenia,ARM,5.632118968,10.01576432,10.99384531,10.86486603,10.81125873,10.8129244,10.83934296,10.87739651,10.97872277,11.09664489,11.25381766,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Aruba,ABW,7.655794944,7.580377093,10.28828847,10.58346236,10.92043682,11.29809323,11.70717135,12.1371273,12.60488977,13.07347721,13.55094714,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Australia,AUS,11.05874988,12.32367377,13.37655581,13.63030821,13.93028835,14.25265706,14.56531719,14.85461069,15.1411186,15.40402089,15.65647523,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Austria,AUT,14.92147346,15.38990611,17.7983838,18.05310013,18.27449444,18.47297903,18.65961774,18.84047768,18.90914695,18.95657332,19.00156646,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Azerbaijan,AZE,4.641227289,5.849897221,5.898281764,5.818642015,5.746483531,5.696668509,5.689117451,5.736523206,5.835522707,5.989688502,6.195182751,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Bahamas, The",BHS,4.26932789,5.384313423,6.11367491,6.21339459,6.317659743,6.432460257,6.556350892,6.692035937,6.875082687,7.060549305,7.257602357,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bahrain,BHR,2.182360046,2.453164332,2.079767258,2.142861055,2.20186408,2.253412095,2.294856202,2.324232005,2.342487544,2.372302346,2.426333878,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bangladesh,BGD,3.142894761,3.854105208,4.771824822,4.865900891,4.951116461,5.022874297,5.074235596,5.103355977,5.135613502,5.149475008,5.15839064,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Barbados,BRB,10.28451421,12.07520763,13.25093662,13.46492948,13.7186686,14.01215634,14.33752537,14.68576075,15.04184803,15.4109254,15.80269396,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Belarus,BLR,10.67177322,13.47895667,13.96414911,13.95593565,14.00340404,14.09300318,14.20297538,14.32281401,14.41574703,14.5751252,14.84514817,..
