Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Afghanistan,AFG,..,..,225736384,71699645.23,119324666.2,179156788,115123782.6,115710097.9,537191231.6,917398878.3,694317882.8,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Albania,ALB,..,530800000,1355123515,1358916108,1267570515,1030408967,1089767187,991295197,996202980.9,988180543.1,1093945348,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Algeria,DZA,352441759.8,..,66315665.59,51983387.94,50860802.6,34527427.94,2183686892,1745291690,1728036632,1634611769,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Angola,AGO,..,..,17972037,204751.1,40348853.99,36637411.34,30971119.27,11114711.6,3988048.38,1418195.84,1579247.15,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Antigua and Barbuda,ATG,9400000,10691111.11,12502388.15,12671205.93,12823260.37,12989962.59,29788150.36,29265407.77,24428119.07,21767221.05,22289634.36,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Argentina,ARG,..,50000000,534932803.5,555126810.6,421861583.5,357028235.3,334182352.9,278640032.9,312737270,357490805.9,416888269.9,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Armenia,ARM,..,104000000,661143185.6,790034907.1,843796551.6,963883900,909689227.5,649112349.8,608660930.8,680515591.4,665728853.9,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Aruba,ABW,..,1027932.961,3854748.603,4636871.508,2960893.855,3064208.939,4069796.089,5739835.754,5787158.101,..,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Austria,AUT,..,..,458145131,434368646.9,372769718.5,382689422.4,371381631.7,310310910.4,298710196.3,300889306.4,313651228.2,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Azerbaijan,AZE,..,57132000,1337833000,1771671000,1852412000,1613468000,1708876000,1182496000,564194000,1020203000,1079629000,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Bangladesh,BGD,778865574.4,1958106581,10836030646,12053855505,14101727142,13845786127,14963574984,15271417296,13548987677,13474496432,15537896611,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Barbados,BRB,26000000,84150000,50856751.67,73158119.33,51652339.41,48004458.06,..,..,..,..,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Belarus,BLR,..,100600000,247600000,395500000,458600000,592600000,521900000,507900000,537800000,645300000,580300000,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Belgium,BEL,..,..,123234661,169511825.9,130868329.9,136788321.8,246903642.6,214075465.3,183744920.8,173084226.6,266184882.9,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Belize,BLZ,13700000,22825147,75777060.09,72966044.32,73588137.19,72044200.87,77976908.12,82386565.04,94313497.18,87857006.8,90155229.28,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Benin,BEN,88764691.83,80480209.89,127108662.9,152649232.2,189180149.7,229393958.8,283923249.5,196855857.6,201258778.5,186456478.5,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Bermuda,BMU,..,..,1087019.34,1504242.89,1302521.14,1526565.55,1508874.57,1500922.38,1623280,1623280,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Bhutan,BTN,..,..,6722784.652,9234992.778,16907238.96,9801264.251,12482443.98,17947299.72,32305055.94,41053421.4,56081777.35,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Bolivia,BOL,2000000,101070000,939330273.8,1012308161,1094341361,1181829555,1163553186,1178418196,1233038013,1392265712,1370057197,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Bosnia and Herzegovina,BIH,..,949798260.4,1343028029,1428694667,1374111130,1475196511,1566875778,1347933409,1380049412,1530968038,1627961900,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Botswana,BWA,..,352785.9381,2902306.754,3411256.317,2525151.115,4903116.141,4073064.9,2988522.586,4273514.693,6315504.954,5487044.424,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Brazil,BRA,527000000,1112296000,2518012121,2549924933,2191048550,2124462675,2127744943,2459375113,2365066660,2300370884,2565164069,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Bulgaria,BGR,..,..,950640000,1074410000,1028600000,1127740000,1098730000,940790000,962730000,1288150000,1390400000,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Burkina Faso,BFA,..,..,105736785.1,204337622.7,194493089.6,292044549.2,363457858.5,357612944.7,367792571.6,380194076.6,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Burundi,BDI,..,..,34498929.51,39415709.37,36120205.77,35869287.38,46417934.25,37790993.69,20695363.3,20441686.35,33073343.89,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Cabo Verde,CPV,56028492.01,88515518.98,130377334.1,176008771.1,174519195.6,173929173.1,194368629.8,197979928.6,195392801.6,197484521.6,212219011.7,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Cambodia,KHM,..,100000000,443509118.9,484808587.2,683328218.3,801685709.5,891827245.3,950319180.4,939327279.9,1019859891,1108894402,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Cameroon,CMR,18988867.56,11847164.44,93622352.7,158470798.7,133867516.9,153694021.2,191539514.4,163158475.5,179054095.5,234323637.2,246196451.7,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,9331417.411,11097306.75,..,..
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
