Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Afghanistan,AFG,..,..,0.96,..,1,..,1.21,..,1.19,..,0.7,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Albania,ALB,..,0.3,1.31,..,1.4,..,1.79,..,1.71,..,1.35,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Algeria,DZA,..,0.15,0.2,..,0.19,..,0.17,..,0.16,..,0.17,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Andorra,AND,..,..,1.06,..,1.32,..,1.48,..,1.35,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Angola,AGO,..,0.15,0.39,..,0.43,..,0.42,..,0.51,..,0.82,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Antigua and Barbuda,ATG,..,0.56,..,..,0.96,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Argentina,ARG,..,0.52,0.58,..,1.05,..,1.33,..,1.33,..,1,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Armenia,ARM,..,0.31,1.11,..,0.99,..,1.15,..,1.16,..,0.67,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Australia,AUS,..,0.57,0.94,..,1.23,..,1.57,..,1.28,..,0.92,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Austria,AUT,..,0.74,1.43,..,1.55,..,1.81,..,1.55,..,1.15,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Azerbaijan,AZE,..,0.2,0.56,..,0.56,..,0.57,..,0.77,..,0.35,..,..,..
