Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Afghanistan,AFG,..,..,1.05,..,1.15,..,1.28,..,1.07,..,0.7,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Albania,ALB,..,0.57,1.36,..,1.46,..,1.81,..,1.76,..,1.36,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Algeria,DZA,..,0.27,0.34,..,0.32,..,0.29,..,0.27,..,0.28,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Andorra,AND,..,..,1.24,..,1.49,..,1.67,..,1.51,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Angola,AGO,..,0.3,0.53,..,0.65,..,0.63,..,0.76,..,0.97,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Antigua and Barbuda,ATG,..,0.56,1.11,..,0.99,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Argentina,ARG,..,1.07,0.78,..,0.96,..,1.46,..,1.52,..,1.1,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Armenia,ARM,..,0.55,1.08,..,1.08,..,1.25,..,1.3,..,0.77,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Australia,AUS,..,0.57,0.74,..,1.27,..,1.39,..,1.23,..,0.93,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Austria,AUT,..,0.82,1.37,..,1.63,..,1.81,..,1.6,..,1.2,..,..,..
