Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"School enrollment, primary (% gross)",SE.PRM.ENRR,Afghanistan,AFG,29.04141998,20.95758,100.0717,97.64164,103.4924,104.4984,105.9197,105.7785,..,102.3105,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Albania,ALB,99.45175171,104.19619,93.49047,95.00608,97.58513,99.98391,104.108,105.543,105.5539,107.0466,106.9934,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Algeria,DZA,92.59343719,105.16491,115.3376,116.5679,118.0796,119.5393,118.5028,115.8778,113.8302,111.7645,109.8828,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Angola,AGO,73.03958893,..,105.781,119.5301,..,..,..,113.478,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Antigua and Barbuda,ATG,..,127.596,112.293,110.5735,108.0302,..,106.0467,104.9906,..,103.669,105.0213,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Argentina,ARG,106.9124298,115.69413,116.9758,115.6147,114.2272,112.0119,111.4597,111.3034,110.7392,109.7415,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Armenia,ARM,..,98.66373,99.06499,98.47586,98.91774,98.44946,96.86599,95.00365,94.5179,94.08352,92.71525,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Aruba,ABW,..,110.78818,113.7943,105.2559,104.0871,116.0393,117.1081,..,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Australia,AUS,106.3717194,100.72193,105.6194,105.6897,105.9845,105.9939,105.4571,101.5999,100.7444,100.339,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Austria,AUT,105.3017273,103.67232,99.78978,99.7387,100.5991,101.2101,101.6282,101.9975,102.2644,103.1132,..,..
