Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Afghanistan,AFG,..,..,2146167528,2607518872,1868073317,895971244.4,1364536955,852070088.6,525830548.4,372118054.5,736303059,..
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Albania,ALB,31500000,459300000,2584937403,2813850471,2432303929,2282506743,2492332715,2248731004,2650667814,3242551087,3621039818,..
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Algeria,DZA,497906318.8,..,3489359714,3607795208,3748971944,3772725254,3553345533,3456144198,3429915247,3002078547,..,..
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Angola,AGO,108500000,267280000,856877283.3,732259285.2,780010052,1315703839,1681346775,1256163318,710892137.5,984580377.9,631124522.9,..
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Antigua and Barbuda,ATG,311874074.1,414507943,478118505.6,481604752.6,482507612.6,464986200.7,928576598.7,948793867,993046948.5,953124536.9,1113640879,..
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Argentina,ARG,2446000000,4899720315,12817143361,14496981275,14247100730,13679891768,13396371828,13213512350,13424706884,14751838698,14716911103,..
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Armenia,ARM,..,140414195.2,1013193794,1310642403,1401669404,1519401715,1620196593,1512454133,1610100429,1926344057,2069908658,..
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Aruba,ABW,411005586.6,1580927374,1560111732,1680949721,1762122905,1883048063,2040683392,2104597279,2062962237,..,..,..
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Australia,AUS,10379231510,19949364218,46439777334,52214570907,53596414403,53076703266,56505989297,54899037431,58025784283,65155174057,69415495531,..
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Austria,AUT,..,..,52723745798,59206732219,57912990819,64578252207,68626265902,59074314228,61431634533,66972066414,74752435609,..
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Azerbaijan,AZE,..,259768000,2493649000,3042508000,4808744000,4130923000,4297161000,4443986000,4368290000,4688439000,4690704000,..
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,"Bahamas, The",BHS,1500100000,1973220000,2493573000,2493608000,2691377600,2671240000,2724801051,2895504509,3399808723,3257627777,3737735330,..
