Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Afghanistan,AFG,..,..,1067994354,1552064137,1767490584,1494574824,1457924270,1171342248,1064630708,1222309884,1388995483,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Albania,ALB,29100000,429300000,2004806425,2248279418,1870592893,1979736340,2068770733,1666903819,1770873915,2016609074,2309306039,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Algeria,DZA,1329722458,..,11847590715,12586338089,10873360994,10794635232,11807321608,11029027741,10879459440,11317122833,..,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Angola,AGO,1807300000,2699470000,18754364334,23669885103,22144345920,23062085372,24957647237,17276227851,12616539042,13793293932,10089508253,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Antigua and Barbuda,ATG,105118518.5,156070814.8,225046337.8,210923534.4,204079920.4,219518929.6,391870709.9,426050589.3,480040025.2,476819661.8,511294898.5,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Argentina,ARG,3120000000,9179703787,14620732011,17649469312,18344325454,19008807884,18037663981,19028557043,21876362070,24901102553,23998482612,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Armenia,ARM,..,205254352.4,1273953432,1376439942,1503766151,1644378900,1733702538,1607864561,1681107639,1961900522,2227746617,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Aruba,ABW,134916201.1,647804469.3,679329608.9,843351955.3,824469273.7,892554869.8,912039156.4,880534320.7,866985233,..,..,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Australia,AUS,14135111845,19339452052,51589637033,62395164373,66763017034,67808128850,67779830803,63655911035,62468175994,68502710760,73235213937,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Austria,AUT,..,..,38748808838,44523534821,44107796911,51038394110,55204948406,47705645910,49748429078,55567261879,62444595596,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Azerbaijan,AZE,..,484509000,3929451000,5839501000,7429580000,8319931000,10386721000,8672851000,7522805000,8067752000,6752758000,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,"Bahamas, The",BHS,573000000,1025680000,1181098000,1292417000,1537661000,1628266000,1727820968,1277858820,1835538826,1812461442,1817007302,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Bahrain,BHR,474468085.1,756759707.4,1905053191,1778457447,6044680851,7051329787,6764414894,6592287234,7499734043,7800265957,8076861702,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Bangladesh,BGD,700451342.3,1647698337,4389173272,5270736281,5578270816,6567826143,7770221502,7719476306,7801989800,8498343985,9925426284,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Barbados,BRB,250150000,484700000,733780389.3,519588279.5,505330436.5,700634040.2,..,..,..,..,..,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Belarus,BLR,..,552000000,3026100000,3373900000,4066300000,5278600000,5761000000,4414900000,4381400000,4826200000,5394700000,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Belgium,BEL,..,..,87990967137,96856031290,99257792540,1.05241E+11,1.17587E+11,1.04312E+11,1.05119E+11,1.14139E+11,1.23544E+11,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Belize,BLZ,60000000,122605512.7,162391152.5,171083253.6,188071807.6,207790831.4,224590660.5,221357659.9,215682310.2,240724324.6,231146454.7,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Benin,BEN,130585009.8,192965699.7,514695794.3,503874473.9,585154008.5,760986218.7,885382708.3,668823720.3,665283143.9,582647320.6,..,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Bermuda,BMU,..,..,1013319127,896834813.4,898603799.3,895447496.5,987427804,888310455.9,944178453.1,949858033.3,1020792437,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Bhutan,BTN,..,..,140219792,176574874.2,195441610.5,177358380.4,189535352.6,195095979.2,207400265.8,209836191.4,241319845.7,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Bolivia,BOL,310600000,467680000,1148813465,1650733456,1921422622,2331501739,3026252967,2835251388,2857927957,3117955028,3255642958,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Bosnia and Herzegovina,BIH,..,263138693.2,540907837.8,557218658,513221820.7,520789654.2,525086556.6,569544080,587406863.6,663634186.7,714319438.4,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Botswana,BWA,375927355.1,547442831.1,952787426.7,1059070983,1166805066,1090790394,1230230718,1118721275,1019067893,1198715263,1245249741,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,7523000000,16265448702,60827829400,74148583665,78984426906,84382714980,88072140088,70723366749,63747069972,72405643777,71173701745,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brunei Darussalam,BRN,..,..,1269213960,1818050562,2639349620,2859224099,2186833136,1654012200,1644488334,1248997651,1575625756,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Bulgaria,BGR,600000000,1669638981,3410420000,3567650000,4142760000,4295790000,5625240000,4693690000,5136460000,5880120000,6572760000,..
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Burkina Faso,BFA,..,..,833323538.2,1142684299,1219114433,1426449026,1308500069,1166270309,1238158320,1370371840,..,..
