Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Urban population,SP.URB.TOTL,Afghanistan,AFG,2628554,4587798,6927764,7212518,7528588,7865067,8204877,8535606,8852859,9164841,9477100,..
Urban population,SP.URB.TOTL,Albania,ALB,1197222,1289391,1519519,1546929,1575788,1603505,1630119,1654503,1680247,1706345,1728969,..
Urban population,SP.URB.TOTL,Algeria,DZA,13416507,18600197,24299173,25016303,25763106,26536378,27332602,28146511,28977628,29821745,30670086,..
Urban population,SP.URB.TOTL,American Samoa,ASM,38326,51222,49122,48790,48664,48664,48699,48689,48605,48484,48339,..
Urban population,SP.URB.TOTL,Andorra,AND,51627,60417,75007,74305,73056,71515,70057,68919,68213,67876,67813,..
Urban population,SP.URB.TOTL,Angola,AGO,4400964,8212001,13963065,14660282,15383127,16130304,16900847,17691524,18502165,19332881,20184707,..
Urban population,SP.URB.TOTL,Antigua and Barbuda,ATG,22151,24422,23097,22941,23078,23199,23302,23392,23486,23583,23685,..
Urban population,SP.URB.TOTL,Argentina,ARG,28373007,32867357,37055902,37543830,38027774,38509756,38990109,39467043,39940546,40410674,40877099,..
Urban population,SP.URB.TOTL,Armenia,ARM,2385470,1984982,1825371,1821999,1823986,1830230,1838076,1845585,1852180,1858263,1864017,..
Urban population,SP.URB.TOTL,Aruba,ABW,31273,42444,43778,43819,44057,44348,44665,44979,45296,45616,45948,..
Urban population,SP.URB.TOTL,Australia,AUS,14579227,16133530,18767085,19056040,19414834,19775013,20095657,20410546,20755798,21133982,21496436,..
Urban population,SP.URB.TOTL,Austria,AUT,4833974,4824004,4800510,4792887,4817487,4861991,4916377,4988134,5058968,5110858,5157557,..
Urban population,SP.URB.TOTL,Azerbaijan,AZE,3847891,4135854,4835557,4920166,5008847,5098727,5189181,5279540,5368846,5453517,5535892,..
Urban population,SP.URB.TOTL,"Bahamas, The",BHS,204563,244423,292568,296565,300073,303266,306395,309640,313048,316575,320178,..
Urban population,SP.URB.TOTL,Bahrain,BHR,437114,587330,1099824,1133656,1153855,1168206,1187971,1220934,1270237,1332505,1401305,..
Urban population,SP.URB.TOTL,Bangladesh,BGD,20439396,30114488,44954427,46610737,48311928,50048763,51818338,53608403,55420910,57254681,59107944,..
Urban population,SP.URB.TOTL,Barbados,BRB,97512,91845,89915,89707,89516,89351,89230,89161,89148,89187,89280,..
