Country Name,Year,GDP_perCapita,population,urbanPopulation,%PopulationAge15-64,%PopulationAge65+,dieselFuelPrice,dieselFuelPrice_year-2,gasolinePrice,gasolinePrice_year-2,goodsImports,goodsExports,serviceImports,serviceExports,personalTransfers,schoolEnrollPrimary,airTransportDeparture,internationalTourism,mobileSubscriptionPer100People,broadbandSubscriptionPer100People,electricPowerConsumption,chargesOfIntellectualProperty,landArea
Thailand,1995,2846.583364,59467274,18004312,67.44018904,5.468903787,0.3,0.3,0.34,0.34,63414719171,55446656854,18831760321,14845200949,430930000,95.59176,86500,6952000,2.182420536,..,1247.711472,629821109.1,510890
Thailand,1996,3043.981173,60130186,18309040,67.90475752,5.670085571,0.3,0.3,0.34,0.34,63896558223,54408384561,19585108741,17007424377,504100000,91.68782,91700,7244000,3.067722092,0.000138473,1380.055601,716767861.4,510890
Thailand,1997,2468.179209,60846582,18632440,68.34391125,5.873472071,0.3,0.3,0.34,0.34,55084321744,56655902127,17354511964,15763256735,577270000,92.22954,94900,7294000,3.622068697,0.000394509,1410.120292,803954544.1,510890
Thailand,1998,1845.831225,61585103,18965132,68.76177507,6.082363782,0.27,0.3,0.3,0.34,36514982915,52752885286,11998318524,13155630795,650440000,93.55635,93500,7843000,3.210122097,0.000684937,1359.078672,513914898.1,510890
Thailand,1999,2033.255822,62298571,19293244,69.14538858,6.301000066,0.27,0.3,0.3,0.34,42761773328,56775078012,13582799708,14635147646,723610000,97.2983,95400,8651000,3.755143918,0.001189483,1358.345764,583377970,510890
Thailand,2000,2007.736363,62952642,19758316,69.48759355,6.531628966,0.35,0.27,0.39,0.3,56192998494,67893605164,15460261049,13868246342,796780000,97.61494,101591,9579000,4.854442805,0.001387932,1448.072664,709870581.5,510890
Thailand,2001,1893.26831,63539196,20680738,69.84671477,6.772896528,0.35,0.27,0.39,0.3,54538841091,63082304852,14610426194,13024282632,869950000,97.08288,102414,10133000,11.88242923,0.002538591,1504.756214,823264729.7,510890
Thailand,2002,2096.187999,64069087,21613066,70.15566181,7.023443303,0.32,0.35,0.36,0.39,57008216534,66052137107,16720409958,15390634773,943120000,98.6697,97750,10873000,27.23605223,0.010263118,1617.566362,1103909310,510890
Thailand,2003,2359.116494,64549866,22554369,70.42985961,7.276101859,0.32,0.35,0.36,0.39,66908728391,78083315058,18168807216,15798334791,1040680000,98.56199,93576,10082000,33.48869849,0.017987644,1713.620908,1267697585,510890
Thailand,2004,2660.122791,64995299,23508150,70.6943836,7.520762386,0.37,0.32,0.54,0.36,84193477426,94978718537,23077098855,19040150913,1040680000,101.42069,128178,11737000,41.48845903,0.253518335,1827.239844,1583825523,510890
