CountryName,Region,ThirdWorld,Secondary2000,Secondary2015,GDP2000,GDP2015,MobileSubscription2000,MobileSubscription2015
Albania,Eastern Europe,0,71.07808,97.38848,1126.683317627406,3952.830781165856,0.952019386,117.6592183
Antigua and Barbuda,North America,0,79.66178,108.2302,10920.842688089057,14526.5880847823,28.94127552,188.1025159
Argentina,South America,0,95.93661,106.9465,7708.100996054139,13789.060424772022,17.59645109,143.566834
Armenia,Western Asia,0,92.15199,86.00589,622.7421390634976,3607.2966967227057,0.569652439,118.4217138
Austria,Western Europe,0,98.69606,100.321,24564.45829484036,44176.67174313337,75.80605745,155.2154711
Bahrain,Middle East,0,97.56947,102.1602,13636.408237139643,22688.9443998144,30.9544982,183.6245336
Bangladesh,South Asia,1,49.76399,65.62919,418.06896831137806,1248.4533977837125,0.218552945,84.07708629
Barbados,North America,0,103.62408,107.5281,11496.602397657589,16066.471800479454,10.48450362,117.337483
Belgium,Western Europe,0,144.87628,163.9347,23207.40591100777,40441.05204223613,54.74598263,113.1658212
Belize,North America,0,67.98631,80.65795,3364.423710652407,4883.179011062995,6.797808463,58.72170181
Benin,Africa,1,21.83777,58.84676,374.19239415923505,783.9630778009437,0.807987124,88.1051181
Bhutan,South Asia,1,30.02343,84.01727,743.0501339204901,2829.8912450654416,0.0,92.83820321
Bolivia,South America,0,72.90833,85.40379,997.5824598868353,3035.9722148927704,6.920904357,93.49660939
Brunei Darussalam,Southeast Asia,0,84.64923,96.41472,18012.55625970466,31164.56202911414,28.51439977,111.6838231
Bulgaria,Eastern Europe,0,92.78796,102.2723,1609.8824517858077,6993.7834826738745,9.227356436,127.70783
Burkina Faso,Africa,1,10.42248,33.71873,226.47598136697977,575.3144541763114,0.217480411,79.77028842
Cabo Verde,Africa,0,68.67609,94.72112,1259.323656025883,3043.013984300979,4.60755556,116.527138
Cameroon,Africa,0,27.57544,59.03209,649.9918454050478,1326.9692771802897,0.665717198,77.94823655
Canada,North America,0,101.92313,110.3565,24190.24961500449,43495.05438699025,28.53043915,82.61933463
Chad,Africa,1,10.76674,22.41506,165.76298656783337,775.7075235147536,0.065823693,38.73436811
Chile,South America,0,85.52158,101.7809,5074.901623750093,13574.171503961217,22.17081695,129.1440655
Colombia,South America,0,73.0866,94.71927,2520.480897959017,6175.876029702588,5.694682872,120.636922
Costa Rica,North America,0,62.0568,122.7866,3772.870011554341,11299.136177043923,5.34058892,155.4435575
Croatia,Eastern Europe,0,85.52605,98.65387,4873.053305730706,11780.131241969413,23.32842149,104.3182481
Cuba,North America,0,82.75083,97.89115,2747.0985751943795,7694.011919524095,0.058743011,29.45174834
Cyprus,Middle East,0,93.37214,99.77831,14388.3467029574,23217.4841507892,31.47693195,131.7901791
Czech Republic,Western Europe,0,88.31745,105.0893,6011.615220357014,17715.61685230089,42.23784093,117.4805076
Denmark,Northern Europe,0,126.98766,130.2519,30743.547681635428,53254.85600396311,62.97378451,124.4441651
Djibouti,Africa,1,14.04512,46.76042,768.1760767471202,1787.4775000326847,0.032051997,34.3930424
Dominica,North America,0,111.51306,94.25424,4787.780170694743,7597.750446033463,1.722900215,108.5287217
Dominican Republic,North America,0,60.05714,79.97902,2869.1058607252726,6691.716919894883,8.327284493,85.56234973
Ecuador,South America,0,57.70923,104.0311,1445.279324429013,6124.491642620721,3.802604864,79.84070461
El Salvador,North America,0,58.32695,75.3354,2001.538009244666,3705.577945981771,12.62968891,147.5723164
Estonia,Northern Europe,0,93.82781,111.0414,4070.032826987136,17412.448673161278,39.81096581,144.7205063
Eswatini,Africa,0,43.83822,76.03505,1728.7053395301737,3641.4085833782524,3.282161453,85.23211031
Ethiopia,Africa,1,13.53887,34.93947,124.46080027176242,639.3043597349437,0.026813216,41.96106195
Finland,Northern Europe,0,124.57893,150.0199,24253.250424578648,42494.65662380827,71.87081844,134.9395252
France,Western Europe,0,105.59022,103.396,22364.029394340596,36613.37521596132,49.22869227,103.4564614
Georgia,Western Asia,0,87.20838,99.35391,749.8961142765868,3756.383768069091,4.464297381,137.9343335
Germany,Western Europe,0,99.93066,98.82264,23718.74669947103,41394.6581607948,59.21557459,117.8176431
Ghana,Africa,0,35.1286,67.90667,258.4709594878599,1766.0057008915687,0.674547286,125.7069529
Greece,Eastern Europe,0,87.81149,102.2004,12042.953731099451,18167.773716916243,53.53137816,117.8887779
Guatemala,North America,0,30.38552,54.19734,1655.5877302334748,3923.5733436471273,7.354303498,111.4995795
Hungary,Eastern Europe,0,96.13126,103.0306,4633.312922662492,12503.682068479387,30.09908413,101.2544484
Iceland,Northern Europe,0,106.45706,119.0789,32018.063247185684,52428.59576262529,76.62952199,116.2534861
India,South Asia,0,44.87198,73.86563,443.31420400077405,1605.6054310902557,0.338555535,76.40759943
Indonesia,Southeast Asia,0,55.07712,86.12275,780.1902009865787,3331.6951275862816,1.734793002,131.1804585
"Iran, Islamic Rep.",Middle East,0,77.50985,85.86942,1670.0094699784852,4916.085937931428,1.46684708,94.55563842
Ireland,Northern Europe,0,105.12237,116.9899,26241.364614697337,61995.422778992826,65.05241861,105.3646002
Israel,Middle East,0,104.16218,103.6598,21027.781733830892,35855.27504384474,73.99994955,132.4812089
Italy,Western Europe,0,93.05417,102.2563,20051.242154834217,30170.51660365559,74.5182166,144.756385
Jamaica,North America,0,85.28746,80.90864,3384.6948609054566,4892.897446769495,13.82272429,108.5157458
Kazakhstan,Western Asia,0,93.70328,110.3013,1229.0009584450054,10510.771888414849,1.322145113,149.7227182
"Korea, Rep.",East Asia,0,95.95925,100.0078,11947.579128206073,27105.076226264027,56.59946726,115.9612246
Kuwait,Middle East,0,91.08806,97.82772,18439.9003907245,29869.529390824766,23.27488371,199.832125
Kyrgyz Republic,Western Asia,0,84.75101,91.06977,279.6204249200862,1121.0828351073899,0.182900361,127.1905538
Lao PDR,Southeast Asia,1,34.1422,63.42557,325.18699822584625,2134.7042238196123,0.238198997,55.28959094
