Year,Africa,Australia and Oceanea,East Asia,Eastern Europe,Middle East,North America,Northern Europe,South America,South Asia,Southeast Asia,Western Asia,Western Europe
1990,53747.63,73866.77,56219.89,27925.38,115473.9,160635.7,190604.4,23102.85,3229.623,29510.45,7761.296,395905.5
2000,57297.96,85229.2,93379.96,46785.96,163870.6,315203.6,281414.4,39799.01,5457.734,49433.24,4876.187,499400
2010,136022.7,183813.3,158591.5,148954.1,297652.3,469309.5,575201.7,93940.55,16452.35,104673.5,28651.06,957659.7
2011,147760,205024.1,183410.4,162872.7,344062.6,504282.7,636078.1,103675.9,17893.12,127391.5,35378.3,1043882
2012,154210.4,221089.9,196653.8,153319.6,352945.9,509740.6,618722.1,109997,18080.96,131685.7,38377.45,967831.3
2013,155113.3,225808.4,205452.4,161641.7,353905.3,513930,650906.3,113851.8,19064.2,129827.3,41488.52,1039329
2014,151706,225450.8,211823.1,162045.7,347402.4,436073.3,677015.7,115863.8,20369.14,126746.9,41962.01,1070082
2015,127973,215672.7,191354.4,135938.6,287290.9,438419.6,603891.2,91489.74,21288.81,111910.3,34472.66,943226.3
2016,123141.5,216720.5,195830.7,138293.8,278263.6,441317.9,616632.8,87320.45,22005.7,109073,29925.22,954798.4
2017,131507.8,230658.4,207935.2,152246.3,294554.4,508780.1,465577.9,94234.53,23766.18,115231.5,31599.8,814715.9
