Year,Africa,Australia and Oceanea,East Asia,Eastern Europe,Middle East,North America,Northern Europe,South America,South Asia,Southeast Asia,Western Asia,Western Europe
1990,50,14,6,10,15,26,8,12,7,7,8,16
2000,51,15,6,17,15,27,13,12,7,10,8,17
2010,53,17,6,17,15,28,13,12,8,10,8,17
2011,53,17,6,17,15,29,13,12,8,10,8,17
2012,52,17,6,17,15,29,13,12,8,10,8,17
2013,53,17,6,17,15,29,13,12,8,10,8,17
2014,53,17,6,17,15,28,13,12,8,10,8,17
2015,53,17,6,17,15,28,13,11,8,10,8,17
2016,53,17,6,17,15,28,13,11,8,10,8,17
2017,52,17,6,17,15,29,10,11,8,10,8,16
