Year,Africa,Australia and Oceanea,East Asia,Eastern Europe,Middle East,North America,Northern Europe,South America,South Asia,Southeast Asia,Western Asia,Western Europe
1990,1074.953,5276.198,9369.982,2792.538,7698.26,6178.296,23825.55,1925.238,461.375,4215.779,970.162,24744.094
2000,1123.489,5681.947,15563.327,2752.115,10924.707,11674.207,21647.262,3316.584,779.676,4943.324,609.523,29376.471
2010,2566.466,10812.547,26431.917,8762.006,19843.487,16761.054,44246.285,7828.379,2056.544,10467.35,3581.383,56332.924
2011,2787.925,12060.241,30568.4,9580.747,22937.507,17389.059,48929.085,8639.658,2236.64,12739.15,4422.288,61404.824
2012,2965.585,13005.288,32775.633,9018.8,23529.727,17577.262,47594.008,9166.417,2260.12,13168.57,4797.181,56931.253
2013,2926.666,13282.847,34242.067,9508.335,23593.687,17721.724,50069.715,9487.65,2383.025,12982.73,5186.065,61137
2014,2862.377,13261.812,35303.85,9532.1,23160.16,15574.046,52078.131,9655.317,2546.143,12674.69,5245.251,62946
2015,2414.585,12686.629,31892.4,7996.388,19152.727,15657.843,46453.169,8317.249,2661.101,11191.03,4309.083,55483.9
2016,2323.425,12748.265,32638.45,8134.929,18550.907,15761.354,47433.292,7938.223,2750.713,10907.3,3740.653,56164.612
2017,2528.996,13568.141,34655.867,8955.665,19636.96,17544.141,46557.79,8566.775,2970.773,11523.15,3949.975,50919.744
