Year,Africa,Australia and Oceanea,East Asia,Eastern Europe,Middle East,North America,Northern Europe,South America,South Asia,Southeast Asia,Western Asia,Western Europe
1990,34,6,4,10,11,14,10,8,5,6,4,12
2000,34,9,4,12,12,20,10,9,5,6,6,15
2010,29,5,5,14,11,25,10,11,7,6,5,15
2011,38,5,3,14,11,23,10,11,7,5,5,15
2012,32,7,3,15,11,20,10,11,7,5,4,15
2013,29,3,3,14,12,21,9,10,7,5,6,12
2014,33,6,3,14,9,24,10,10,5,7,6,12
2015,33,7,4,14,8,23,10,10,6,6,5,14
2016,30,7,3,13,8,20,9,9,7,8,4,15
2017,28,2,3,10,8,18,10,9,7,8,4,13
